cell_type	n_M01	n_M02	frac_M01	frac_M02	frac_overall
tumor_epithelial	889980	1881191	0.9347	0.8091	0.8456
Pericyte	12432	128304	0.0131	0.0552	0.0429
T	10782	62523	0.0113	0.0269	0.0224
Macrophage	11469	59633	0.012	0.0256	0.0217
Fibroblast	10926	50175	0.0115	0.0216	0.0186
Endothelial	2977	51761	0.0031	0.0223	0.0167
DC	1432	39875	0.0015	0.0172	0.0126
NK	1259	18718	0.0013	0.0081	0.0061
Neutrophil	962	17600	0.001	0.0076	0.0057
Epithelial	1986	8799	0.0021	0.0038	0.0033
Plasma	7242	547	0.0076	2e-04	0.0024
B	674	5843	7e-04	0.0025	0.002
