sample_id	cell_type	n_cells	fraction	condition	timepoint_h	dataset	slide_id
sam0001	Tumor	56946	0.446989379822448	Control	0	Mutter_01	sld0002
sam0001	Fibroblast	41176	0.323205048705249	Control	0	Mutter_01	sld0002
sam0001	Macrophages	11531	0.0905109145283715	Control	0	Mutter_01	sld0002
sam0001	unassigned	11384	0.0893570593175771	Control	0	Mutter_01	sld0002
sam0001	SmoothMuscle	2198	0.0172528826756882	Control	0	Mutter_01	sld0002
sam0001	Adipocyte	1393	0.010934151759433	Control	0	Mutter_01	sld0002
sam0001	Endothelial	1257	0.00986663945556873	Control	0	Mutter_01	sld0002
sam0001	ILC	810	0.00635797769213259	Control	0	Mutter_01	sld0002
sam0001	DC	252	0.00197803750421903	Control	0	Mutter_01	sld0002
sam0001	T cells	177	0.0013893358660586	Control	0	Mutter_01	sld0002
sam0001	NK cells	120	0.00094192262105668	Control	0	Mutter_01	sld0002
sam0001	Plasma cells	108	0.000847730358951012	Control	0	Mutter_01	sld0002
sam0001	Mast cells	26	0.000204083234562281	Control	0	Mutter_01	sld0002
sam0001	Neutrophils	13	0.00010204161728114	Control	0	Mutter_01	sld0002
sam0001	Epithelial cells	8	6.27948414037787e-05	Control	0	Mutter_01	sld0002
sam0002	Tumor	14735	0.341056383668179	MBRT_1h	1	Mutter_01	sld0004
sam0002	Fibroblast	12776	0.295713359874086	MBRT_1h	1	Mutter_01	sld0004
sam0002	SmoothMuscle	7253	0.167877974261642	MBRT_1h	1	Mutter_01	sld0004
sam0002	unassigned	4212	0.0974909730580502	MBRT_1h	1	Mutter_01	sld0004
sam0002	Macrophages	2657	0.06149893528377	MBRT_1h	1	Mutter_01	sld0004
sam0002	Adipocyte	678	0.0156929913896861	MBRT_1h	1	Mutter_01	sld0004
sam0002	Endothelial	399	0.0092352559948153	MBRT_1h	1	Mutter_01	sld0004
sam0002	ILC	275	0.0063651513748727	MBRT_1h	1	Mutter_01	sld0004
sam0002	NK cells	75	0.00173595037496528	MBRT_1h	1	Mutter_01	sld0004
sam0002	DC	59	0.00136561429497269	MBRT_1h	1	Mutter_01	sld0004
sam0002	T cells	49	0.00113415424497732	MBRT_1h	1	Mutter_01	sld0004
sam0002	Plasma cells	24	0.00055550411998889	MBRT_1h	1	Mutter_01	sld0004
sam0002	Epithelial cells	5	0.000115730024997685	MBRT_1h	1	Mutter_01	sld0004
sam0002	Mast cells	5	0.000115730024997685	MBRT_1h	1	Mutter_01	sld0004
sam0002	Neutrophils	2	4.62920099990742e-05	MBRT_1h	1	Mutter_01	sld0004
sam0003	Fibroblast	61921	0.368388800970932	MBRT_4h	4	Mutter_01	sld0004
sam0003	Tumor	57039	0.339344145258975	MBRT_4h	4	Mutter_01	sld0004
sam0003	unassigned	26240	0.156110562450174	MBRT_4h	4	Mutter_01	sld0004
sam0003	Macrophages	15144	0.0900967361945671	MBRT_4h	4	Mutter_01	sld0004
sam0003	Adipocyte	3003	0.0178658543840653	MBRT_4h	4	Mutter_01	sld0004
sam0003	SmoothMuscle	1698	0.0101019716097712	MBRT_4h	4	Mutter_01	sld0004
sam0003	Endothelial	1420	0.00844805635210547	MBRT_4h	4	Mutter_01	sld0004
sam0003	ILC	706	0.00420023083421582	MBRT_4h	4	Mutter_01	sld0004
sam0003	DC	392	0.00233213950001785	MBRT_4h	4	Mutter_01	sld0004
sam0003	T cells	180	0.00107088038266126	MBRT_4h	4	Mutter_01	sld0004
sam0003	NK cells	104	0.000618730887759837	MBRT_4h	4	Mutter_01	sld0004
sam0003	Plasma cells	95	0.000565186868626774	MBRT_4h	4	Mutter_01	sld0004
sam0003	Epithelial cells	95	0.000565186868626774	MBRT_4h	4	Mutter_01	sld0004
sam0003	Mast cells	41	0.000243922753828397	MBRT_4h	4	Mutter_01	sld0004
sam0003	Neutrophils	8	4.75946836738336e-05	MBRT_4h	4	Mutter_01	sld0004
sam0004	Fibroblast	48845	0.372101349910108	MBRT_day2	48	Mutter_01	sld0001
sam0004	Tumor	29144	0.222019075479172	MBRT_day2	48	Mutter_01	sld0001
sam0004	unassigned	23907	0.182123594478472	MBRT_day2	48	Mutter_01	sld0001
sam0004	Macrophages	21938	0.167123746838529	MBRT_day2	48	Mutter_01	sld0001
sam0004	Adipocyte	3027	0.0230596946704452	MBRT_day2	48	Mutter_01	sld0001
sam0004	SmoothMuscle	1629	0.0124097266660572	MBRT_day2	48	Mutter_01	sld0001
sam0004	Endothelial	1297	0.00988054971508669	MBRT_day2	48	Mutter_01	sld0001
sam0004	ILC	714	0.00543925404515952	MBRT_day2	48	Mutter_01	sld0001
sam0004	DC	304	0.0023158728707682	MBRT_day2	48	Mutter_01	sld0001
sam0004	T cells	180	0.00137124051558643	MBRT_day2	48	Mutter_01	sld0001
sam0004	Plasma cells	135	0.00102843038668983	MBRT_day2	48	Mutter_01	sld0001
sam0004	NK cells	65	0.00049517018618399	MBRT_day2	48	Mutter_01	sld0001
sam0004	Epithelial cells	44	0.000335192126032239	MBRT_day2	48	Mutter_01	sld0001
sam0004	Neutrophils	23	0.000175214065880489	MBRT_day2	48	Mutter_01	sld0001
sam0004	Mast cells	16	0.000121888045829905	MBRT_day2	48	Mutter_01	sld0001
sam0005	unassigned	32856	0.293365000848237	MBRT_day6	144	Mutter_01	sld0001
sam0005	Fibroblast	30708	0.27418591569417	MBRT_day6	144	Mutter_01	sld0001
sam0005	Macrophages	20239	0.180710197594578	MBRT_day6	144	Mutter_01	sld0001
sam0005	Tumor	12662	0.11305659973035	MBRT_day6	144	Mutter_01	sld0001
sam0005	Adipocyte	3757	0.0335455413984303	MBRT_day6	144	Mutter_01	sld0001
sam0005	T cells	2798	0.0249828120396082	MBRT_day6	144	Mutter_01	sld0001
sam0005	ILC	2124	0.0189647936998312	MBRT_day6	144	Mutter_01	sld0001
sam0005	SmoothMuscle	2096	0.0187147870032233	MBRT_day6	144	Mutter_01	sld0001
sam0005	Plasma cells	2053	0.0183308481477182	MBRT_day6	144	Mutter_01	sld0001
sam0005	DC	1257	0.0112235149155781	MBRT_day6	144	Mutter_01	sld0001
sam0005	Endothelial	1089	0.00972347473593043	MBRT_day6	144	Mutter_01	sld0001
sam0005	NK cells	237	0.00211612811057439	MBRT_day6	144	Mutter_01	sld0001
sam0005	Epithelial cells	88	0.000785735332196398	MBRT_day6	144	Mutter_01	sld0001
sam0005	Neutrophils	23	0.00020536264364224	MBRT_day6	144	Mutter_01	sld0001
sam0005	Mast cells	10	8.92881059314089e-05	MBRT_day6	144	Mutter_01	sld0001
sam0006	Tumor	61788	0.371851735946029	SBRT_4h	4	Mutter_01	sld0004
sam0006	Fibroblast	59789	0.359821380210998	SBRT_4h	4	Mutter_01	sld0004
sam0006	unassigned	24206	0.145676233577872	SBRT_4h	4	Mutter_01	sld0004
sam0006	Macrophages	13043	0.0784952125322725	SBRT_4h	4	Mutter_01	sld0004
sam0006	Adipocyte	2618	0.0157556134638879	SBRT_4h	4	Mutter_01	sld0004
sam0006	SmoothMuscle	1811	0.010898936586364	SBRT_4h	4	Mutter_01	sld0004
sam0006	Endothelial	1376	0.00828102525833068	SBRT_4h	4	Mutter_01	sld0004
sam0006	ILC	528	0.00317760271540596	SBRT_4h	4	Mutter_01	sld0004
sam0006	DC	476	0.00286465699343416	SBRT_4h	4	Mutter_01	sld0004
sam0006	NK cells	171	0.00102910997033034	SBRT_4h	4	Mutter_01	sld0004
sam0006	T cells	160	0.000962909913759381	SBRT_4h	4	Mutter_01	sld0004
sam0006	Plasma cells	140	0.000842546174539458	SBRT_4h	4	Mutter_01	sld0004
sam0006	Epithelial cells	41	0.000246745665400841	SBRT_4h	4	Mutter_01	sld0004
sam0006	Mast cells	13	7.82364304929497e-05	SBRT_4h	4	Mutter_01	sld0004
sam0006	Neutrophils	3	1.80545608829884e-05	SBRT_4h	4	Mutter_01	sld0004
sam0007	Fibroblast	29340	0.338248348531836	SBRT_day2	48	Mutter_01	sld0002
sam0007	Tumor	28583	0.329521218339655	SBRT_day2	48	Mutter_01	sld0002
sam0007	unassigned	15565	0.179442247610703	SBRT_day2	48	Mutter_01	sld0002
sam0007	Macrophages	8991	0.103653404964204	SBRT_day2	48	Mutter_01	sld0002
sam0007	Adipocyte	1570	0.0180998605042598	SBRT_day2	48	Mutter_01	sld0002
sam0007	SmoothMuscle	998	0.0115055164224531	SBRT_day2	48	Mutter_01	sld0002
sam0007	Endothelial	622	0.00717077276028637	SBRT_day2	48	Mutter_01	sld0002
sam0007	ILC	547	0.00630612974256695	SBRT_day2	48	Mutter_01	sld0002
sam0007	DC	229	0.00264004334743662	SBRT_day2	48	Mutter_01	sld0002
sam0007	T cells	122	0.00140648597549025	SBRT_day2	48	Mutter_01	sld0002
sam0007	Plasma cells	70	0.000807000149871456	SBRT_day2	48	Mutter_01	sld0002
sam0007	NK cells	68	0.000783943002732272	SBRT_day2	48	Mutter_01	sld0002
sam0007	Epithelial cells	20	0.000230571471391845	SBRT_day2	48	Mutter_01	sld0002
sam0007	Mast cells	13	0.000149871456404699	SBRT_day2	48	Mutter_01	sld0002
sam0007	Neutrophils	3	3.45857207087767e-05	SBRT_day2	48	Mutter_01	sld0002
sam0008	unassigned	28980	0.24713677801182	SBRT_day6	144	Mutter_01	sld0002
sam0008	Fibroblast	28207	0.240544758363678	SBRT_day6	144	Mutter_01	sld0002
sam0008	Macrophages	24692	0.210569403818766	SBRT_day6	144	Mutter_01	sld0002
sam0008	Tumor	16785	0.143139779811194	SBRT_day6	144	Mutter_01	sld0002
sam0008	ILC	9429	0.0804089951647152	SBRT_day6	144	Mutter_01	sld0002
sam0008	Adipocyte	3185	0.0271611676317338	SBRT_day6	144	Mutter_01	sld0002
sam0008	T cells	1858	0.0158447251051056	SBRT_day6	144	Mutter_01	sld0002
sam0008	SmoothMuscle	1546	0.0131840392962827	SBRT_day6	144	Mutter_01	sld0002
sam0008	Endothelial	907	0.00773475009167427	SBRT_day6	144	Mutter_01	sld0002
sam0008	DC	846	0.00721455190469287	SBRT_day6	144	Mutter_01	sld0002
sam0008	Plasma cells	437	0.00372666570017823	SBRT_day6	144	Mutter_01	sld0002
sam0008	NK cells	336	0.00286535394796313	SBRT_day6	144	Mutter_01	sld0002
sam0008	Epithelial cells	24	0.000204668139140223	SBRT_day6	144	Mutter_01	sld0002
sam0008	Mast cells	17	0.000144973265224325	SBRT_day6	144	Mutter_01	sld0002
sam0008	Neutrophils	14	0.000119389747831797	SBRT_day6	144	Mutter_01	sld0002
sam0012	Tumor	171054	0.573837256112289	Control	48	Mutter_02	sld0005
sam0012	unassigned	50395	0.169060814256193	Control	48	Mutter_02	sld0005
sam0012	Fibroblast	40344	0.135342583398191	Control	48	Mutter_02	sld0005
sam0012	Macrophages	24565	0.0824085504951558	Control	48	Mutter_02	sld0005
sam0012	Adipocyte	2889	0.00969176887362121	Control	48	Mutter_02	sld0005
sam0012	ILC	2841	0.00953074259950082	Control	48	Mutter_02	sld0005
sam0012	Endothelial	2266	0.00760178202410027	Control	48	Mutter_02	sld0005
sam0012	NK cells	1935	0.00649137167547838	Control	48	Mutter_02	sld0005
sam0012	SmoothMuscle	1205	0.00404243042323072	Control	48	Mutter_02	sld0005
sam0012	T cells	322	0.00108021792222431	Control	48	Mutter_02	sld0005
sam0012	Mast cells	110	0.000369018544859236	Control	48	Mutter_02	sld0005
sam0012	DC	100	0.000335471404417487	Control	48	Mutter_02	sld0005
sam0012	Plasma cells	23	7.71584230160221e-05	Control	48	Mutter_02	sld0005
sam0012	Epithelial cells	21	7.04489949276724e-05	Control	48	Mutter_02	sld0005
sam0012	Neutrophils	18	6.03848527951478e-05	Control	48	Mutter_02	sld0005
sam0013	Tumor	86077	0.387341658229272	MBRT_day2	48	Mutter_02	sld0005
