cell_type	contrast	log2FC_incl	padj_incl	log2FC_excl	padj_excl	flip
Adipocyte	MBRT_vs_Ctrl	0.0646349281245504	0.995691347162659	0.0677262726858997	0.94866663393861	FALSE
DC	MBRT_vs_Ctrl	0.0235579326571132	0.995691347162659	0.0267502358908611	0.969384230066178	FALSE
Endothelial	MBRT_vs_Ctrl	0.706297715522613	0.291653601262906	0.711322749765941	0.437187735675418	FALSE
Epithelial cells	MBRT_vs_Ctrl	3.25735566275062	0.291653601262906	3.26130267128893	0.355920980379036	FALSE
Fibroblast	MBRT_vs_Ctrl	0.795784941988649	0.291653601262906	0.841813969371	0.355920980379036	FALSE
ILC	MBRT_vs_Ctrl	0.0900255782572149	0.995691347162659	0.0933431372216133	0.94866663393861	FALSE
Macrophages	MBRT_vs_Ctrl	0.972610652905076	0.291653601262906	1.00535916504291	0.355920980379036	FALSE
Mast cells	MBRT_vs_Ctrl	0.791092591305167	0.500347566082735	0.794414088299008	0.511750208055992	FALSE
NK cells	MBRT_vs_Ctrl	-0.873157379503951	0.501606738407989	-0.870604661764822	0.511750208055992	FALSE
Neutrophils	MBRT_vs_Ctrl	0.393797753772184	0.822226113999264	0.397037622735966	0.805138057584969	FALSE
Plasma cells	MBRT_vs_Ctrl	-1.12239257745759	0.702596364185789	-1.11930222295267	0.67330087480992	FALSE
SmoothMuscle	MBRT_vs_Ctrl	1.01732124680582	0.501606738407989	1.02257314389705	0.511750208055992	FALSE
T cells	MBRT_vs_Ctrl	-2.14652236938645	0.501606738407989	-2.15023705127098	0.511750208055992	FALSE
Tumor	MBRT_vs_Ctrl	-0.833979524069426	0.291653601262906	-1.03621038568771	0.355920980379036	FALSE
Adipocyte	MBRT_vs_SBRT	0.00224231546796636	0.995691347162659	0.189527603249972	0.890048604561298	FALSE
DC	MBRT_vs_SBRT	-0.0417444740442728	0.995691347162659	0.142639188435658	0.94866663393861	TRUE
Endothelial	MBRT_vs_SBRT	0.133847472757926	0.822226113999264	0.321156382206664	0.67330087480992	FALSE
Epithelial cells	MBRT_vs_SBRT	1.76505281985381	0.431795229452719	1.95002363751114	0.424244234727152	FALSE
Fibroblast	MBRT_vs_SBRT	0.223822730898235	0.558315644732293	0.474514741156214	0.511750208055992	FALSE
ILC	MBRT_vs_SBRT	1.47823009043278	0.327694540436619	1.66611097398234	0.355920980379036	FALSE
Macrophages	MBRT_vs_SBRT	1.5567728258062	0.180772491377002	1.79266925598925	0.355920980379036	FALSE
Mast cells	MBRT_vs_SBRT	1.45779590640759	0.291653601262906	1.64223020187794	0.355920980379036	FALSE
NK cells	MBRT_vs_SBRT	1.23184759480635	0.406023799548508	1.41650149884991	0.420096848397136	FALSE
Neutrophils	MBRT_vs_SBRT	1.99704686389236	0.291653601262906	2.18135393411337	0.355920980379036	FALSE
Plasma cells	MBRT_vs_SBRT	0.747390699789075	0.822226113999264	0.931691200245635	0.73106583378263	FALSE
SmoothMuscle	MBRT_vs_SBRT	-0.920569252180547	0.518853091953968	-0.737132265220493	0.624605813821296	FALSE
T cells	MBRT_vs_SBRT	0.326580870028029	0.995691347162659	0.511204363951565	0.943603855906187	FALSE
Tumor	MBRT_vs_SBRT	-1.28971564787659	0.180772491377002	-1.07863374174684	0.355920980379036	FALSE
Adipocyte	SBRT_vs_Ctrl	0.062392612656584	0.995691347162659	-0.121801330564072	0.94866663393861	TRUE
DC	SBRT_vs_Ctrl	0.065302406701386	0.995691347162659	-0.115888952544797	0.94866663393861	TRUE
Endothelial	SBRT_vs_Ctrl	0.572450242764687	0.327694540436619	0.390166367559276	0.624605813821296	FALSE
Epithelial cells	SBRT_vs_Ctrl	1.4923028428968	0.500347566082735	1.31127903377779	0.511750208055992	FALSE
Fibroblast	SBRT_vs_Ctrl	0.571962211090414	0.291653601262906	0.367299228214787	0.624605813821296	FALSE
ILC	SBRT_vs_Ctrl	-1.38820451217557	0.335739544662398	-1.57276783676072	0.355920980379036	FALSE
Macrophages	SBRT_vs_Ctrl	-0.58416217290112	0.393722441705027	-0.787310090946332	0.424244234727152	FALSE
Mast cells	SBRT_vs_Ctrl	-0.666703315102421	0.501606738407989	-0.847816113578929	0.511750208055992	FALSE
NK cells	SBRT_vs_Ctrl	-2.1050049743103	0.291653601262906	-2.28710616061473	0.355920980379036	FALSE
Neutrophils	SBRT_vs_Ctrl	-1.60324911012017	0.327694540436619	-1.7843163113774	0.355920980379036	FALSE
Plasma cells	SBRT_vs_Ctrl	-1.86978327724667	0.501606738407989	-2.05099342319831	0.511750208055992	FALSE
SmoothMuscle	SBRT_vs_Ctrl	1.93789049898637	0.327694540436619	1.75970540911754	0.355920980379036	FALSE
T cells	SBRT_vs_Ctrl	-2.47310323941448	0.500347566082735	-2.66144141522255	0.492687117460396	FALSE
Tumor	SBRT_vs_Ctrl	0.455736123807165	0.406023799548508	0.0424233560591262	0.950367351675893	FALSE
