cell_type	contrast	spearman_rho	n_genes
Fibroblast	MBRT_vs_Ctrl	0.219362937331728	950
Macrophages	MBRT_vs_Ctrl	0.213104399415868	950
Adipocyte	MBRT_vs_Ctrl	0.15648284615013	913
SmoothMuscle	MBRT_vs_Ctrl	0.103233566010506	913
Tumor	MBRT_vs_Ctrl	0.0401668629928793	950
Plasma cells	MBRT_vs_Ctrl	0.0370645509292767	130
Epithelial cells	MBRT_vs_Ctrl	0.0341463414634146	41
Mast cells	MBRT_vs_Ctrl	0.0295487212479668	347
T cells	MBRT_vs_Ctrl	0.0285612857692259	440
NK cells	MBRT_vs_Ctrl	0.0279931438932487	751
ILC	MBRT_vs_Ctrl	0.0160251992925334	947
Endothelial	MBRT_vs_Ctrl	-0.0327375924038217	944
DC	MBRT_vs_Ctrl	-0.0636979367680462	336
T cells	SBRT_vs_Ctrl	0.0444137812507484	440
NK cells	SBRT_vs_Ctrl	-0.0180296342465365	751
Mast cells	SBRT_vs_Ctrl	-0.0309485012464718	347
Plasma cells	SBRT_vs_Ctrl	-0.0417512187794453	130
DC	SBRT_vs_Ctrl	-0.0753604803452007	336
ILC	SBRT_vs_Ctrl	-0.0810179596772774	947
Tumor	SBRT_vs_Ctrl	-0.16721706237785	950
Adipocyte	SBRT_vs_Ctrl	-0.17364394918045	913
Epithelial cells	SBRT_vs_Ctrl	-0.187029051965378	41
SmoothMuscle	SBRT_vs_Ctrl	-0.222092299553243	913
Fibroblast	SBRT_vs_Ctrl	-0.224906366130396	950
Macrophages	SBRT_vs_Ctrl	-0.247085231935816	950
Endothelial	SBRT_vs_Ctrl	-0.269384011610408	944
