cell_type	contrast	n_genes_tested	n_padj_05	n_padj_05_lfc_1	top5_up	top5_down
a	MBRT_vs_Ctrl	950	5	0	Col3a1,S100a8	Cfd,Acvr1b,Col4a2
a	SBRT_vs_Ctrl	950	127	8	Gzmb,Col1a1,Top2a,Ccnd1,Hmgb2	Acvr1b,Jchain,Cntfr,H2-DMb2,H2-Ob
a	MBRT_vs_SBRT	950	25	0	S100a8,Clec7a,Cdkn1a,Ptgs2,Cntfr	Hmgb2,Col6a1,Gzmb,Top2a,Gsn
b	MBRT_vs_Ctrl	950	1	1	Col3a1	""
b	SBRT_vs_Ctrl	950	60	10	Col3a1,Gzmb,Col1a1,Col6a1,Hmgb2	Ifi44l,Ciita,Cxcr4,Cmklr1,Acvr1b
b	MBRT_vs_SBRT	950	27	6	Il33,Cdkn1a,Clec7a,Ptgs2,Pgf	Col6a1,Csf3,Krt8,Hmgb2,Gzmb
B.cell	MBRT_vs_Ctrl	680	0	0	""	""
B.cell	SBRT_vs_Ctrl	680	18	16	Gzmb,Acta2,Gsn,Axl,Col5a1	Fn1,H2-DMb2,H2-Eb1
B.cell	MBRT_vs_SBRT	680	0	0	""	""
Blood.endothelial	MBRT_vs_Ctrl	949	0	0	""	""
Blood.endothelial	SBRT_vs_Ctrl	949	59	13	Col1a1,Col3a1,Top2a,Notch3,Col1a2	Cdkn1a,Ifit3/b,Acvr1b,Fn1,Pdgfc
Blood.endothelial	MBRT_vs_SBRT	949	8	2	Cdkn1a,Bax	Hmgb2,Mki67,Stmn1,Col5a3,Dnmt1
BM.Neutrophil	MBRT_vs_Ctrl	670	0	0	""	""
BM.Neutrophil	SBRT_vs_Ctrl	670	4	4	Col1a1,Col1a2,Crip1,Arg1	""
BM.Neutrophil	MBRT_vs_SBRT	670	7	7	Il17b,Fgf18,Hilpda,Cdkn1a	Col1a2,Col1a1,Crip1
CD8.T.cell	MBRT_vs_Ctrl	950	3	2	S100a9,Col3a1,Col5a3	""
CD8.T.cell	SBRT_vs_Ctrl	950	24	8	Col3a1,Col1a1,Acta2,Gzma,Meg3	Jchain,Fkbp5,Egf,Ccl21a/b/d,Ptgs2
CD8.T.cell	MBRT_vs_SBRT	950	1	0	Pgf	""
Colon.Treg.Nrplo	MBRT_vs_Ctrl	227	0	0	""	""
Colon.Treg.Nrplo	SBRT_vs_Ctrl	227	16	11	Krt8,Lpar5,Nfkb1,Krt18,Hmgb2	Cxcl10,Fn1,Lcn2,Lgals9,Spp1
Colon.Treg.Nrplo	MBRT_vs_SBRT	227	3	3	Cxcl10,Mmp12	Krt8
Dendritic	MBRT_vs_Ctrl	943	0	0	""	""
Dendritic	SBRT_vs_Ctrl	943	28	13	Col1a1,Col3a1,Mrc1,Acta2,Col1a2	Cdkn1a,Ifit3/b,Bax
Dendritic	MBRT_vs_SBRT	943	3	1	Cdkn1a	Cfd,Crip1
