cell_type	contrast	spearman_rho	n_genes
Adipocyte	MBRT_vs_Ctrl	0.958300715136362	913
Adipocyte	SBRT_vs_Ctrl	0.971339169247005	913
Adipocyte	MBRT_vs_SBRT	0.966554701000141	913
DC	MBRT_vs_Ctrl	0.940385503596895	336
DC	SBRT_vs_Ctrl	0.949135416600761	336
DC	MBRT_vs_SBRT	0.941399720346972	336
Endothelial	MBRT_vs_Ctrl	0.946957060948649	944
Endothelial	SBRT_vs_Ctrl	0.98019463466558	944
Endothelial	MBRT_vs_SBRT	0.964398762842245	944
Epithelial cells	MBRT_vs_Ctrl	0.869337979094077	41
Epithelial cells	SBRT_vs_Ctrl	0.841114982578398	41
Epithelial cells	MBRT_vs_SBRT	0.904006968641115	41
Fibroblast	MBRT_vs_Ctrl	0.952660890541299	950
Fibroblast	SBRT_vs_Ctrl	0.982199685189912	950
Fibroblast	MBRT_vs_SBRT	0.97034934752224	950
ILC	MBRT_vs_Ctrl	0.944301675193023	947
ILC	SBRT_vs_Ctrl	0.967904584309705	947
ILC	MBRT_vs_SBRT	0.956144310653181	947
Macrophages	MBRT_vs_Ctrl	0.922531133290074	950
Macrophages	SBRT_vs_Ctrl	0.975735052862867	950
Macrophages	MBRT_vs_SBRT	0.94970484586045	950
Mast cells	MBRT_vs_Ctrl	0.942502695446433	347
Mast cells	SBRT_vs_Ctrl	0.946400107071117	347
Mast cells	MBRT_vs_SBRT	0.935211634908171	347
NK cells	MBRT_vs_Ctrl	0.947169164518231	751
NK cells	SBRT_vs_Ctrl	0.945449131654248	751
NK cells	MBRT_vs_SBRT	0.948073603989008	751
Plasma cells	MBRT_vs_Ctrl	0.95140722937634	130
Plasma cells	SBRT_vs_Ctrl	0.941154460664491	130
Plasma cells	MBRT_vs_SBRT	0.948517663767087	130
SmoothMuscle	MBRT_vs_Ctrl	0.918245721676189	913
SmoothMuscle	SBRT_vs_Ctrl	0.960679073649093	913
SmoothMuscle	MBRT_vs_SBRT	0.965726973518649	913
T cells	MBRT_vs_Ctrl	0.957299366215734	440
T cells	SBRT_vs_Ctrl	0.951527830017905	440
T cells	MBRT_vs_SBRT	0.950389441342907	440
Tumor	MBRT_vs_Ctrl	0.942970366317945	950
Tumor	SBRT_vs_Ctrl	0.977215699495454	950
Tumor	MBRT_vs_SBRT	0.947711713458088	950
unassigned	MBRT_vs_Ctrl	0.958976015194302	950
unassigned	SBRT_vs_Ctrl	0.971490795645145	950
unassigned	MBRT_vs_SBRT	0.970165451123696	950
