comparison	contrast	unit	feature_type	feature_id	estimate	se	df	stat	p
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	Adipocyte	0.169583870282369	0.318394984140997	8.74796573984037	0.532621048475031	0.607557218303527
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	DC	-0.46646742389912	0.421530779329912	8.74796573984037	-1.10660347185238	0.297965583668073
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	Endothelial	0.484623950201052	0.339574558691943	8.74796573984037	1.42715034974306	0.188240492328695
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	Epithelial cells	0.188996404700909	0.972096302717306	8.45204623542072	0.194421482905147	0.850438129344265
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	Fibroblast	0.19306932904877	0.312909244277859	8.74796573984037	0.617013822951573	0.552943234390913
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	ILC	-0.255626186447777	0.602679402752703	8.45204623542072	-0.424149531708267	0.682047025333169
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	Macrophages	0.342073526635483	0.534312367147086	8.45204623542072	0.640212631539777	0.53899934492624
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	Mast cells	0.332093066675715	0.608272034456991	8.45204623542072	0.545961424927544	0.599203644836082
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	Neutrophils	-0.748254712277275	0.634778791004765	8.45204623542072	-1.17876451274135	0.270609789322812
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	NK cells	-0.894031545544636	0.620035057044813	8.45204623542072	-1.44190483326174	0.185337093686882
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	Plasma cells	-1.63004767156285	0.713499969005418	8.45204623542072	-2.28457987718633	0.0500105155694325
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	SmoothMuscle	-0.342443905313181	1.0752153627509	8.45204623542072	-0.318488664854128	0.757842717924952
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	T cells	-1.06623434213726	0.960469422517063	8.45204623542072	-1.11011794560104	0.297530745876846
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	Tumor	0.410617301547099	0.385661937617351	8.74796573984037	1.06470787364686	0.315511796216158
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	unassigned	-0.831976284134149	0.393666676235712	8.74796573984037	-2.11340287191592	0.0645903474300503
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	Adipocyte	0.320921307165481	0.318394984140997	8.74796573984037	1.00793455660521	0.340550119463957
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	DC	0.00276073375706363	0.421530779329912	8.74796573984037	0.00654930527600438	0.994921363155644
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	Endothelial	0.466023535213674	0.339574558691943	8.74796573984037	1.3723747061877	0.20410387934295
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	Epithelial cells	1.31769850708196	0.972096302717306	8.45204623542072	1.35552259935419	0.210360318208557
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	Fibroblast	0.432601590131251	0.312909244277859	8.74796573984037	1.38251457265068	0.201083409395405
