comparison	contrast	unit	feature_type	feature_id	estimate	se	df	stat	p
mutter02_day2	SBRT_vs_Ctrl	mouse	mixing	enrichment_over_random	-0.0188952936964978	0.0905821175907206	6.58578507743737	-0.208598498236405	0.841065474056632
mutter02_day2	SBRT_vs_Ctrl	mouse	mixing	immune_per_tumor	-0.0927449787678971	0.504227850901873	6.58578507743737	-0.183934660891919	0.859598988694006
mutter02_day2	SBRT_vs_Ctrl	mouse	mixing	mean_immune_frac	-0.00901261603488593	0.0404952294171786	6.58578507743737	-0.222559945074979	0.830621661901694
mutter02_day2	SBRT_vs_Ctrl	mouse	mixing	mixing_score	-0.982117225317078	1.93159770815556	6.58578507743737	-0.508448121040111	0.62772142256314
mutter02_day2	MBRT_vs_Ctrl	mouse	mixing	enrichment_over_random	0.0544042475642006	0.0905821175907206	6.58578507743737	0.600606930056732	0.568184631724971
mutter02_day2	MBRT_vs_Ctrl	mouse	mixing	immune_per_tumor	0.731759588619048	0.504227850901873	6.58578507743737	1.45124785810662	0.192621133209527
mutter02_day2	MBRT_vs_Ctrl	mouse	mixing	mean_immune_frac	0.031852379135041	0.0404952294171786	6.58578507743737	0.786571149082782	0.458894977719666
mutter02_day2	MBRT_vs_Ctrl	mouse	mixing	mixing_score	-1.36683012896468	1.93159770815556	6.58578507743737	-0.707616354685904	0.5034464082273
mutter02_day2	MBRT_vs_SBRT	mouse	mixing	enrichment_over_random	0.0732995412606984	0.0905821175907206	6.58578507743737	0.809205428293137	0.446640858672669
mutter02_day2	MBRT_vs_SBRT	mouse	mixing	immune_per_tumor	0.824504567386946	0.504227850901873	6.58578507743737	1.63518251899854	0.148714975105161
mutter02_day2	MBRT_vs_SBRT	mouse	mixing	mean_immune_frac	0.040864995169927	0.0404952294171786	6.58578507743737	1.00913109415776	0.348540577811935
mutter02_day2	MBRT_vs_SBRT	mouse	mixing	mixing_score	-0.384712903647602	1.93159770815556	6.58578507743737	-0.199168233645792	0.848139611061668
