comparison	contrast	unit	feature_type	feature_id	estimate	se	df	stat	p
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	N1	-0.669430608401442	0.384765599311351	7.300349043233	-1.73984007301999	0.123675914879403
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	N2	1.60539418986048	1.20581430517433	7.300349043233	1.33137762835579	0.22313447269352
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	N3	0.963521292474035	0.484552799290259	7.300349043233	1.98847534032481	0.085401117082512
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	N4	4.91421194428588	3.03958695844425	7.300349043233	1.61673675123317	0.148205441235533
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	N5	-1.35246004726558	0.79742635108598	7.300349043233	-1.69603129545911	0.131932213314269
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	N6	0.618207207956256	0.314413956136463	7.300349043233	1.96622063331037	0.0882950713530701
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	N1	-0.309839306265319	0.384765599311351	7.300349043233	-0.805267692381714	0.446096498562511
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	N2	1.92686925913522	1.20581430517433	7.300349043233	1.59798175462569	0.152318169854823
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	N3	-0.36657119848488	0.484552799290259	7.300349043233	-0.756514458324891	0.473043658475222
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	N4	2.83649559159395	3.03958695844425	7.300349043233	0.933184551181831	0.380553705701687
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	N5	0.22893722155982	0.79742635108598	7.300349043233	0.287095129535211	0.782018080515226
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	N6	1.04174105178676	0.314413956136463	7.300349043233	3.31327866163363	0.0121268768966514
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	N1	0.359591302136123	0.384765599311352	7.300349043233	0.934572380638276	0.379883746010279
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	N2	0.321475069274739	1.20581430517433	7.300349043233	0.266604126269893	0.797148264536194
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	N3	-1.33009249095892	0.484552799290259	7.300349043233	-2.7449897986497	0.0275582681341026
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	N4	-2.07771635269193	3.03958695844425	7.300349043233	-0.683552200051341	0.515361072630191
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	N5	1.5813972688254	0.79742635108598	7.300349043233	1.98312642499432	0.0860880924266337
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	N6	0.4235338438305	0.314413956136463	7.300349043233	1.34705802832326	0.218275662713597
