comparison	contrast	unit	feature_type	feature_id	estimate	se	df	stat	p
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	Adipocyte	0.169584617822316	0.293878351929816	8.40094189337279	0.577057196315081	0.579032891856135
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	DC	-0.466466674705668	0.407221280510232	8.40094189337279	-1.14548697976	0.283589111822802
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	Endothelial	0.484624692596923	0.317609083351697	8.40094189337279	1.52585274792121	0.163771350973458
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	Epithelial cells	0.188997151970999	0.981233140098796	8.14676976804914	0.192611871987904	0.851977995355212
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	Fibroblast_activated	0.512388809734691	0.266835485290636	8.40094189337279	1.92024238896337	0.0893383058462596
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	Fibroblast_resting	-0.0933567756535037	0.309766095853878	8.40094189337279	-0.301378288014909	0.770451718941894
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	ILC	-0.255625430236622	0.599393529507664	8.14676976804914	-0.426473456339428	0.680808707001997
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	Macrophages	0.342074215333478	0.527850873696874	8.14676976804914	0.648050865081867	0.534786177657615
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	Mast cells	0.332093813354179	0.605226014052646	8.14676976804914	0.548710408414949	0.597916563756499
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	Neutrophils	-0.748253964929319	0.632836683198566	8.14676976804914	-1.1823808334678	0.270412451942826
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	NK cells	-0.89403079389039	0.617485924938553	8.14676976804914	-1.4478561498861	0.185021719591267
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	Plasma cells	-1.63004692265574	0.714561277230559	8.14676976804914	-2.28118563739327	0.05140381991387
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	SmoothMuscle	-0.34244289728421	1.08712695148016	8.14676976804914	-0.314998075264312	0.760680347559107
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	T cells	-1.06623356427053	0.969283000420838	8.14676976804914	-1.10002296935735	0.302761626500599
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	Tumor	0.410618146526129	0.368348409914802	8.40094189337279	1.11475476878292	0.295828062118784
mutter02_day2	SBRT_vs_Ctrl	mouse	cell_type_proportion	unassigned	-0.83197526013425	0.377062998175642	8.40094189337279	-2.20646222026459	0.0568342527863556
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	Adipocyte	0.320922090678732	0.293878351929816	8.40094189337279	1.09202358244943	0.305147736360131
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	DC	0.0027615232357132	0.407221280510232	8.40094189337279	0.00678138242739456	0.994747565885141
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	Endothelial	0.466024323480055	0.317609083351697	8.40094189337279	1.46728902889724	0.178709307106111
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	Epithelial cells	1.31769929203865	0.981233140098796	8.14676976804914	1.34290133322033	0.215514992162066
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	Fibroblast_activated	0.413438783628831	0.266835485290636	8.40094189337279	1.54941455098641	0.158082251698787
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	Fibroblast_resting	0.37341042973074	0.309766095853878	8.40094189337279	1.20545932795332	0.260880321703846
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	ILC	-0.0137717484284398	0.599393529507664	8.14676976804914	-0.0229761379635709	0.982222123625879
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	Macrophages	0.665488898637596	0.527850873696874	8.14676976804914	1.26075172325994	0.242305850776624
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	Mast cells	0.576102435383256	0.605226014052646	8.14676976804914	0.95187983002519	0.368541212991814
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	Neutrophils	0.141090930493248	0.632836683198566	8.14676976804914	0.222949987317625	0.829063040569033
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	NK cells	0.092953061536599	0.617485924938553	8.14676976804914	0.15053470497461	0.884003345835817
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	Plasma cells	-0.774604252374557	0.714561277230559	8.14676976804914	-1.08402774829432	0.309388465296117
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	SmoothMuscle	-0.114349348304554	1.08712695148016	8.14676976804914	-0.105184907934499	0.918772860125903
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	T cells	-1.2274426760944	0.969283000420838	8.14676976804914	-1.26634086800395	0.240398013596725
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	Tumor	-0.344270281152698	0.368348409914802	8.40094189337279	-0.93463219030137	0.376061272870859
mutter02_day2	MBRT_vs_Ctrl	mouse	cell_type_proportion	unassigned	0.0229714553227295	0.377062998175642	8.40094189337279	0.0609220619203507	0.952845820419378
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	Adipocyte	0.151337472856416	0.293878351929816	8.40094189337279	0.514966386134351	0.619849734831464
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	DC	0.469228197941381	0.407221280510232	8.40094189337279	1.1522683621874	0.280943878230189
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	Endothelial	-0.0186003691168685	0.317609083351697	8.40094189337279	-0.058563719023967	0.954668816868877
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	Epithelial cells	1.12870214006765	0.981233140098796	8.14676976804914	1.15028946123243	0.282668204419874
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	Fibroblast_activated	-0.0989500261058601	0.266835485290636	8.40094189337279	-0.370827837976962	0.719942965425825
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	Fibroblast_resting	0.466767205384244	0.309766095853878	8.40094189337279	1.50683761596823	0.168495193293958
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	ILC	0.241853681808183	0.599393529507664	8.14676976804914	0.403497318375857	0.696965922918225
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	Macrophages	0.323414683304118	0.527850873696874	8.14676976804914	0.612700858178069	0.556786642740206
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	Mast cells	0.244008622029077	0.605226014052646	8.14676976804914	0.403169421610241	0.697197722450698
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	Neutrophils	0.889344895422567	0.632836683198566	8.14676976804914	1.40533082078543	0.196890877338305
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	NK cells	0.986983855426989	0.617485924938553	8.14676976804914	1.59839085486071	0.147943595751917
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	Plasma cells	0.855442670281187	0.714561277230559	8.14676976804914	1.19715788909895	0.264916666969831
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	SmoothMuscle	0.228093548979656	1.08712695148016	8.14676976804914	0.209813167329813	0.838965666604373
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	T cells	-0.161209111823872	0.969283000420838	8.14676976804914	-0.166317898646607	0.87196058619287
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	Tumor	-0.754888427678828	0.368348409914802	8.40094189337279	-2.04938695908429	0.072904470889459
mutter02_day2	MBRT_vs_SBRT	mouse	cell_type_proportion	unassigned	0.85494671545698	0.377062998175642	8.40094189337279	2.26738428218494	0.0515849536880148
