cluster	n_cells	frac	top_lineage	compartment	frac_M01	frac_M02	minority_frac	neg_mean	signal_to_bg
0	707411	0.2159	Epithelial	tumor	0.1532	0.8468	0.1532	0.0199	34.03
1	655840	0.2001	Epithelial	tumor	0.1051	0.8949	0.1051	0.0143	28.91
2	653284	0.1993	Macrophage	immune	0.2761	0.7239	0.2761	0.0072	18.53
3	653045	0.1993	Fibroblast	stroma	0.5935	0.4065	0.4065	0.0163	18.02
4	560894	0.1712	Fibroblast	stroma	0.3472	0.6528	0.3472	0.0074	27.36
5	39136	0.0119	Epithelial	tumor	0.2866	0.7134	0.2866	0.0095	24.03
6	5580	0.0017	Epithelial	tumor	0.0989	0.9011	0.0989	0.0089	135.59
7	910	0.0003	Mast	immune	0.1297	0.8703	0.1297	0.0125	345.09
8	143	0.0	Epithelial	tumor	0.4056	0.5944	0.4056	0.0126	16.81
9	77	0.0	Epithelial	tumor	0.0909	0.9091	0.0909	0.0104	20.94
10	66	0.0	Fibroblast	stroma	0.0455	0.9545	0.0455	0.0136	260.33
11	34	0.0	Fibroblast	stroma	0.0294	0.9706	0.0294	0.0088	50.0
12	32	0.0	Fibroblast	stroma	0.375	0.625	0.375	0.0063	67.5
13	28	0.0	Epithelial	tumor	0.6429	0.3571	0.3571	0.0036	38.75
14	25	0.0	Fibroblast	stroma	0.16	0.84	0.16	0.004	108.0
15	23	0.0	Fibroblast	stroma	0.0	1.0	0.0	0.0087	47.0
16	19	0.0	Fibroblast	stroma	0.1579	0.8421	0.1579	0.0158	47.67
17	17	0.0	Endothelial	stroma	0.4706	0.5294	0.4706	0.0059	15.0
18	16	0.0	Epithelial	tumor	0.8125	0.1875	0.1875	0.0063	36.25
19	15	0.0	Epithelial	tumor	0.6	0.4	0.4	0.0067	35.0
20	15	0.0	SmoothMuscle	stroma	0.8	0.2	0.2	0.0067	12.86
21	14	0.0	Fibroblast	stroma	0.2857	0.7143	0.2857	0.0071	51.0
22	14	0.0	Epithelial	tumor	0.4286	0.5714	0.4286	0.0071	28.75
23	13	0.0	Fibroblast	stroma	0.0	1.0	0.0	0.0077	107.0
24	12	0.0	Fibroblast	stroma	0.5833	0.4167	0.4167	0.0083	20.0
25	12	0.0	SmoothMuscle	stroma	0.25	0.75	0.25	0.0	142857.14
26	12	0.0	Macrophage	immune	0.0833	0.9167	0.0833	0.0083	55.0
27	12	0.0	Fibroblast	stroma	0.3333	0.6667	0.3333	0.0167	40.0
