set	gene	in_panel
TypeI_interferon	Ifit1	TRUE
TypeI_interferon	Ifit2	FALSE
TypeI_interferon	Ifit3	FALSE
TypeI_interferon	Isg15	FALSE
TypeI_interferon	Mx1	TRUE
TypeI_interferon	Mx2	FALSE
TypeI_interferon	Oas1a	FALSE
TypeI_interferon	Oas2	TRUE
TypeI_interferon	Oasl1	TRUE
TypeI_interferon	Rsad2	FALSE
TypeI_interferon	Ifitm1	TRUE
TypeI_interferon	Ifitm3	TRUE
TypeI_interferon	Irf7	FALSE
TypeI_interferon	Stat1	TRUE
TypeI_interferon	Stat2	FALSE
TypeI_interferon	Isg20	FALSE
TypeI_interferon	Usp18	FALSE
TypeI_interferon	Ifi44	FALSE
TypeI_interferon	Zbp1	FALSE
TypeII_interferon	Gbp2	FALSE
TypeII_interferon	Gbp3	FALSE
TypeII_interferon	Gbp4	FALSE
TypeII_interferon	Gbp5	FALSE
TypeII_interferon	Gbp6	FALSE
TypeII_interferon	Gbp7	FALSE
TypeII_interferon	Irf1	FALSE
TypeII_interferon	Irf8	FALSE
TypeII_interferon	Stat1	TRUE
TypeII_interferon	Cxcl9	TRUE
TypeII_interferon	Cxcl10	TRUE
TypeII_interferon	Cxcl11	FALSE
TypeII_interferon	Ciita	TRUE
TypeII_interferon	H2-Aa	TRUE
TypeII_interferon	H2-Ab1	TRUE
TypeII_interferon	H2-Eb1	TRUE
TypeII_interferon	Cd74	TRUE
DNA_Damage_Repair	Cdkn1a	TRUE
DNA_Damage_Repair	Gadd45a	FALSE
DNA_Damage_Repair	Gadd45b	TRUE
DNA_Damage_Repair	Mdm2	FALSE
DNA_Damage_Repair	Bax	TRUE
DNA_Damage_Repair	Pmaip1	FALSE
DNA_Damage_Repair	Bbc3	FALSE
DNA_Damage_Repair	Ddit3	TRUE
DNA_Damage_Repair	Atm	TRUE
DNA_Damage_Repair	Atr	TRUE
DNA_Damage_Repair	Chek1	TRUE
DNA_Damage_Repair	Chek2	TRUE
DNA_Damage_Repair	Rad51	FALSE
DNA_Damage_Repair	Brca1	TRUE
DNA_Damage_Repair	Brca2	FALSE
DNA_Damage_Repair	Xrcc5	FALSE
DNA_Damage_Repair	Xrcc6	FALSE
DNA_Damage_Repair	Parp1	TRUE
STING	Irf3	TRUE
STING	Isg15	FALSE
STING	Cxcl10	TRUE
Angiogenesis	Vegfa	TRUE
Angiogenesis	Vegfc	TRUE
Angiogenesis	Flt1	TRUE
Angiogenesis	Kdr	TRUE
Angiogenesis	Pecam1	TRUE
Angiogenesis	Cdh5	TRUE
Angiogenesis	Vwf	TRUE
Angiogenesis	Angpt1	TRUE
Angiogenesis	Angpt2	TRUE
Angiogenesis	Tek	TRUE
Angiogenesis	Pdgfb	TRUE
Angiogenesis	Notch1	TRUE
Angiogenesis	Dll4	TRUE
Angiogenesis	Esm1	FALSE
Angiogenesis	Apln	FALSE
Angiogenesis	Aplnr	FALSE
Angiogenesis	Nrp1	FALSE
Angiogenesis	Cldn5	FALSE
Angiogenesis	Tie1	TRUE
Hypoxia	Hif1a	TRUE
Hypoxia	Vegfa	TRUE
Hypoxia	Slc2a1	TRUE
Hypoxia	Car9	FALSE
Hypoxia	Ldha	TRUE
Hypoxia	Pgk1	FALSE
Hypoxia	Bnip3	FALSE
Hypoxia	Ndrg1	TRUE
Hypoxia	Pdk1	FALSE
Hypoxia	Eno1	FALSE
Hypoxia	Aldoa	FALSE
Hypoxia	Hk2	FALSE
Hypoxia	Egln3	FALSE
Fibrosis_remodeling	Col1a1	TRUE
Fibrosis_remodeling	Col1a2	TRUE
Fibrosis_remodeling	Col3a1	TRUE
Fibrosis_remodeling	Col5a1	TRUE
Fibrosis_remodeling	Acta2	TRUE
Fibrosis_remodeling	Tagln	TRUE
Fibrosis_remodeling	Fn1	TRUE
Fibrosis_remodeling	Tgfb1	TRUE
Fibrosis_remodeling	Tgfbr1	TRUE
Fibrosis_remodeling	Ccn2	FALSE
Fibrosis_remodeling	Postn	FALSE
Fibrosis_remodeling	Sparc	FALSE
Fibrosis_remodeling	Timp1	TRUE
Fibrosis_remodeling	Mmp2	TRUE
Fibrosis_remodeling	Mmp9	TRUE
Fibrosis_remodeling	Lox	FALSE
Fibrosis_remodeling	Fap	FALSE
Fibrosis_remodeling	Vim	TRUE
Stromal_stress_senescence	Cdkn1a	TRUE
Stromal_stress_senescence	Cdkn2a	FALSE
Stromal_stress_senescence	Trp53	TRUE
Stromal_stress_senescence	Glb1	FALSE
Stromal_stress_senescence	Serpine1	FALSE
Stromal_stress_senescence	Il6	TRUE
Stromal_stress_senescence	Cxcl1	TRUE
Stromal_stress_senescence	Ccl2	TRUE
Stromal_stress_senescence	Mmp3	FALSE
Stromal_stress_senescence	Igfbp3	TRUE
Stromal_stress_senescence	Gdf15	TRUE
Stromal_stress_senescence	Bcl2l1	TRUE
