a	b	n_a	n_b	shared	jaccard	shared_genes
STING	TypeII_interferon	3	17	1	0.0526315789473684	Cxcl10
STING	TypeI_interferon	3	19	1	0.0476190476190476	Isg15
DNA_Damage_Repair	Stromal_stress_senescence	18	12	1	0.0344827586206897	Cdkn1a
Angiogenesis	Hypoxia	19	13	1	0.032258064516129	Vegfa
TypeI_interferon	TypeII_interferon	19	17	1	0.0285714285714286	Stat1
Angiogenesis	DNA_Damage_Repair	19	18	0	0	""
Angiogenesis	Fibrosis_remodeling	19	18	0	0	""
Angiogenesis	STING	19	3	0	0	""
Angiogenesis	Stromal_stress_senescence	19	12	0	0	""
Angiogenesis	TypeII_interferon	19	17	0	0	""
Angiogenesis	TypeI_interferon	19	19	0	0	""
DNA_Damage_Repair	Fibrosis_remodeling	18	18	0	0	""
DNA_Damage_Repair	Hypoxia	18	13	0	0	""
DNA_Damage_Repair	STING	18	3	0	0	""
DNA_Damage_Repair	TypeII_interferon	18	17	0	0	""
DNA_Damage_Repair	TypeI_interferon	18	19	0	0	""
Fibrosis_remodeling	Hypoxia	18	13	0	0	""
Fibrosis_remodeling	STING	18	3	0	0	""
Fibrosis_remodeling	Stromal_stress_senescence	18	12	0	0	""
Fibrosis_remodeling	TypeII_interferon	18	17	0	0	""
Fibrosis_remodeling	TypeI_interferon	18	19	0	0	""
Hypoxia	STING	13	3	0	0	""
Hypoxia	Stromal_stress_senescence	13	12	0	0	""
Hypoxia	TypeII_interferon	13	17	0	0	""
Hypoxia	TypeI_interferon	13	19	0	0	""
STING	Stromal_stress_senescence	3	12	0	0	""
Stromal_stress_senescence	TypeII_interferon	12	17	0	0	""
Stromal_stress_senescence	TypeI_interferon	12	19	0	0	""
