cell_type	contrast	pathway_name	pathway_source	tier	NES	pvalue	padj_bh	leading_edge_genes	leading_edge_size	n_set_genes	n_panel_genes	dataset
Adipocyte	MBRT_vs_Ctrl	HALLMARK_INTERFERON_GAMMA_RESPONSE	MSigDB_Hallmark	exploratory	-2.08766303033646	5.29887756068953e-06	0.000275541633155855	H2-M3,Ciita,Ifi44l,H2-D1,Bst2,Fpr1,Ifitm2,Nlrc5,Casp3,Oasl1,Cd38,Cxcl9,H2-DMa,Cd74,Ifitm3,Stat3,Oas2,H2-Eb1,Jak2,Oas3,Cxcl10,Stat1,B2m,Ifnar2,Tap1,Il2rb,Icam1	27	205	64	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_APOPTOSIS	MSigDB_Hallmark	exploratory	-1.54351180361587	0.00944157626836838	0.104068913694257	Hspb1,Clu,Hmgb2,Casp3,Cflar,Sod1,Cd38,Rela,Ifitm3,Ptk2,Sat1,Il1a,Anxa1,Bcl2l1,Bax,Sqstm1,Lmna,App,Tap1,Krt18,Ifngr1,Gpx1,Bmp2	23	160	63	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_INTERFERON_ALPHA_RESPONSE	MSigDB_Hallmark	exploratory	-1.64411925579769	0.0113807130592286	0.104068913694257	Ifi44l,Bst2,Cd47,Ifitm2,Oasl1,Cd74,Ifitm3,Cxcl10,Sell,B2m	10	100	23	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_MYC_TARGETS_V1	MSigDB_Hallmark	exploratory	-1.6936179225995	0.0120079515801066	0.104068913694257	Rack1,H2az1,Hsp90ab1,Ppia,Ptges3,Pcna	6	201	9	Mutter_02
Adipocyte	MBRT_vs_Ctrl	TypeII_interferon	project	primary	-1.74698301225736	0.00758883681705695	0.104068913694257	Ciita,Cxcl9,Cd74,H2-Eb1,Cxcl10,Stat1,H2-Ab1,H2-Aa	8	17	8	Mutter_02
Adipocyte	MBRT_vs_Ctrl	TypeI_interferon	project	primary	-1.71067840776139	0.00879221587873835	0.104068913694257	Oasl1,Ifit1,Mx1,Ifitm3,Oas2,Stat1	6	19	7	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	exploratory	-1.46552023069493	0.0646319569120287	0.420107719928187	Hspb1,Gata3,Ephb4,App,Il2rb	5	44	10	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	exploratory	-1.49503828130181	0.0606060606060606	0.420107719928187	Sod1,Lamp2,Ica1,Arf1,Krt18	5	96	9	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_ESTROGEN_RESPONSE_LATE	MSigDB_Hallmark	exploratory	1.36872728380672	0.0740740740740741	0.42798353909465	Fabp5,Agr2,Cav1,S100a9,Cxcl12,Celsr2	6	206	32	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	exploratory	1.38474280832054	0.0922330097087379	0.479611650485437	Lep,Cidea,Gpx3,Fabp4,Vegfb,Stat5a,Angpt1	7	200	19	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	exploratory	-1.33362685902213	0.110356536502547	0.485005903187721	H2az1,Hmgb2,Tubb5,Mki67	4	200	18	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	exploratory	-1.27959998133027	0.130578512396694	0.485005903187721	Rack1,Notch1,Itgb4,Sat1,Il1a,Bax,App,Tsc22d1,Tm4sf1,Pdgfa,Tap1,Acvr1b,Bmp2,Pcna,Fas,Btg1,S100a10,S100a4,Lif	19	199	38	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_UV_RESPONSE_DN	MSigDB_Hallmark	exploratory	1.26281364400475	0.123456790123457	0.485005903187721	Col5a2,Cav1,Dusp1,Tgfbr2,Bmpr1a,Adgrl2,Col3a1,Fyn,Anxa2,Pdgfrb,Col1a1	11	144	32	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_UV_RESPONSE_UP	MSigDB_Hallmark	exploratory	-1.2939664430141	0.127272727272727	0.485005903187721	H2-M3,Casp3,Junb,H2-Q1,Sqstm1,Tap1,Icam1,Bmp2,Rxrb	9	158	23	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_TGF_BETA_SIGNALING	MSigDB_Hallmark	exploratory	-1.30656473416962	0.146086956521739	0.506434782608696	Tgfbr1,Junb,Bmpr2,Hdac1,Bmp2,Acvr1,Thbs1	7	54	15	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	exploratory	1.25166647907426	0.174757281553398	0.529024536205865	Pf4,Col5a2,Itgav,Olr1,Cxcl5	5	36	19	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_FATTY_ACID_METABOLISM	MSigDB_Hallmark	exploratory	-1.27879442713632	0.183123877917415	0.529024536205865	H2az1,Hsp90aa1,Lgals1	3	157	10	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	exploratory	-1.28051420364868	0.169204737732657	0.529024536205865	Smad2,Rac1,Hsp90b1,Sqstm1,Arf1,Pfn1,Akt1,Tnfrsf1a,Slc2a1	9	105	16	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_KRAS_SIGNALING_DN	MSigDB_Hallmark	exploratory	1.17282825857658	0.239709443099274	0.623244552058111	Ryr2,Il12b,Celsr2,Ifng,Tcl1,Tgfb2,Cd40lg	7	202	18	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	exploratory	1.24498430805605	0.238095238095238	0.623244552058111	Gcg,Dpp4,Iapp	3	40	4	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	MSigDB_Hallmark	exploratory	-1.21682194534527	0.258992805755396	0.641315519013361	Sod1,Junb,Fes	3	48	5	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	exploratory	-1.06131812069859	0.352066115702479	0.704132231404959	Rac2,Itgb4,Mapk13,Ptk2,Mapk14,Src,Fyb,Icam1,Pfn1,Itga3,Myl12b,Cd276,Vcam1,Cldn4	14	199	38	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_COMPLEMENT	MSigDB_Hallmark	exploratory	-1.07294479940403	0.341503267973856	0.704132231404959	Fn1,Hspa1a,Clu,Casp3,Dusp6,Gata3,Lamp2,Src,Jak2,C1qc,C1qa,Fcer1g,Pfn1,Calm3	14	196	42	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_MITOTIC_SPINDLE	MSigDB_Hallmark	exploratory	1.10700026299402	0.348314606741573	0.704132231404959	Cenpf,Abl1	2	199	11	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_MTORC1_SIGNALING	MSigDB_Hallmark	exploratory	-1.09976937937089	0.307952622673435	0.704132231404959	Hsp90b1,Ppia,Sqstm1,Itgb2,Xbp1,Slc2a1,Cdkn1a,Cd9	8	201	14	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_SPERMATOGENESIS	MSigDB_Hallmark	exploratory	1.14631377865811	0.316143497757848	0.704132231404959	Ezh2,Il12rb2,Mtor	3	135	5	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_HEDGEHOG_SIGNALING	MSigDB_Hallmark	exploratory	-1.08305495141037	0.394444444444444	0.759670781893004	Celsr1,Hey1,Adgrg1	3	36	4	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_IL2_STAT5_SIGNALING	MSigDB_Hallmark	exploratory	-1.01878503072732	0.429712460063898	0.770518893907679	Il18r1,Casp3,Spp1,Tnfrsf1b,Il2ra,Ifitm3,Il1r2,Bmpr2,Bcl2l1,Cxcl10,Bcl2,Igf1r,Sell,Il2rb,Ifngr1,Flt3l,Bmp2,Itgae,Ltb,Xbp1,Tnfsf10	21	199	58	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_IL6_JAK_STAT3_SIGNALING	MSigDB_Hallmark	exploratory	-1.01848764893547	0.420529801324503	0.770518893907679	Il18r1,Cd38,Acvrl1,Il1r1,Tnfrsf1b,Cxcl9,Il2ra,Il12rb1,Il1r2,Stat3,Pdgfc,Cxcl10,Stat1	13	88	54	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	exploratory	-0.952002292019343	0.557120500782473	0.866666666666667	H2-M3,Cd47,H2-T23,H2-DMb1,Itgal,Cxcl9,H2-DMa,Il2ra,Cd74,Il12rb1,Cd80,Tlr1,Cd79a,Jak2,Cd3g,Stat1,B2m,Ifnar2,Fyb,Il12a,Tap1,Il2rb,Icam1,Ets1,Ifngr1,Cd3d,Cd8a,Csk,H2-Aa,Itgb2,Akt1,Ltb,Fas,Gzmb	34	201	100	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	exploratory	0.928246539090023	0.562642369020501	0.866666666666667	Fabp5	1	75	13	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_COAGULATION	MSigDB_Hallmark	exploratory	-0.919121781169985	0.595709570957096	0.866666666666667	Fn1,Clu,Dusp6,Lamp2,Rac1,Anxa1	6	139	28	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_DNA_REPAIR	MSigDB_Hallmark	exploratory	-0.904976572547456	0.593525179856115	0.866666666666667	Pcna,Npr2	2	150	5	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	exploratory	-0.989452504433482	0.527777777777778	0.866666666666667	Atp5e,Bax	2	199	4	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_PEROXISOME	MSigDB_Hallmark	exploratory	-0.999499890688703	0.515151515151515	0.866666666666667	Sod1	1	102	3	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_TNFA_SIGNALING_VIA_NFKB	MSigDB_Hallmark	exploratory	0.931975276527531	0.6	0.866666666666667	Cxcl2,Gpr183,Il1b,Il12b,Olr1,Dusp1,Ccl20,Tnfsf9,Cxcl5,Stat5a,Dusp2,Tnfrsf9,Csf2,Ackr3,Ccrl2,Icosl	16	199	74	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	exploratory	0.884686916037181	0.621315192743764	0.873199730342587	Dll1,Notch3,Fzd1,Wnt5a	4	32	12	Mutter_02
Adipocyte	MBRT_vs_Ctrl	DNA_Damage_Repair	project	primary	0.853087047786253	0.651685393258427	0.891780011827321	Parp1,Chek1,Atm	3	18	10	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	exploratory	-0.804133896138579	0.744500846023689	0.900326604493763	Sat1,Krt8,B2m,Tsc22d1,Myl12a,Akt1	6	112	16	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	exploratory	0.898511344030736	0.703608247422681	0.900326604493763	Cxcl2,Col5a2,Vegfc,Itgav,Cxcl12,Col6a3,Tnfrsf11b,Col5a3,Cxcl5,Mfap5,Dcn	11	206	72	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	exploratory	-0.818304793511875	0.712121212121212	0.900326604493763	H2az1,Egf,Mki67,Mapk14,Ube2c	5	198	22	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	MSigDB_Hallmark	exploratory	-0.778110866238	0.74187725631769	0.900326604493763	Hsp90b1,Xbp1	2	113	6	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_WNT_BETA_CATENIN_SIGNALING	MSigDB_Hallmark	exploratory	-0.841552952016235	0.683478260869565	0.900326604493763	Notch1,Wnt5b,Fzd8,Rbpj	4	42	15	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	exploratory	-0.695945524895576	0.834532374100719	0.986265533028123	Sod1	1	112	5	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_ESTROGEN_RESPONSE_EARLY	MSigDB_Hallmark	exploratory	-0.660417632612739	0.935430463576159	0.9925	Msmb,Jak2,Celsr1,Krt8,Bcl2,Igf1r	6	200	30	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_GLYCOLYSIS	MSigDB_Hallmark	exploratory	-0.592905292062693	0.957555178268251	0.9925	Sod1,Ppia,Sox9,Igfbp3	4	200	18	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_HEME_METABOLISM	MSigDB_Hallmark	exploratory	-0.556071717474733	0.952042628774423	0.9925	Lamp2	1	194	7	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_HYPOXIA	MSigDB_Hallmark	exploratory	0.514731446685052	0.9925	0.9925	Cav1,Dusp1,Pdgfb,Dcn,Cxcr4,Ackr3,Anxa2,Fos,Ndrg1,Vhl,Pgf,Rora,Egfr,Il6,Bgn	15	200	39	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_INFLAMMATORY_RESPONSE	MSigDB_Hallmark	exploratory	-0.716583616692486	0.9392	0.9925	Il18r1,Bst2,Fpr1,Csf3,Il1r1,Tnfrsf1b,Cxcl9,Rela,Tlr1,Il1a,Fzd5,Cxcl10,Sell	13	201	85	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_KRAS_SIGNALING_UP	MSigDB_Hallmark	exploratory	-0.705293932177633	0.921824104234528	0.9925	Slpi,Spp1,St6gal1,Dusp6,Tnfrsf1b,Ace,Cxcl10,Sox9,Pdcd1lg2,Fcer1g,Ets1,Bmp2,Sparcl1,Igfbp3	14	203	49	Mutter_02
Adipocyte	MBRT_vs_Ctrl	HALLMARK_MYOGENESIS	MSigDB_Hallmark	exploratory	-0.553099861919109	0.991735537190083	0.9925	Clu,Notch1,Itgb4,Tagln,Tpm2,App	6	201	38	Mutter_02
