sample_id	n_cells	n_genes_detected	mean_counts	max_counts	frac_negative_probes	ram_peak_gb
sam0001	127399	950	123.5	945	0.0014	
sam0002	43204	950	101.1	845	0.0023	
sam0003	168086	950	90.9	792	0.0014	
sam0004	131268	950	81.3	1022	0.0023	
sam0005	111997	950	58.8	1130	0.0033	
sam0006	166163	950	96.1	891	0.0017	
sam0007	86741	950	85.2	913	0.0021	
sam0008	117263	950	71.3	1001	0.0027	
sam0012	298088	950	184.5	3173	8e-04	
sam0013	222225	950	165.3	2242	0.0011	
sam0014	358109	950	162.5	1523	9e-04	
sam0015	219394	950	146	1501	8e-04	
sam0016	159899	950	136.1	1995	0.001	
sam0017	105386	950	117.9	1558	8e-04	
sam0018	87218	950	166.4	1291	9e-04	
sam0019	111661	950	169.7	1369	0.001	
sam0020	97542	950	144.7	1267	8e-04	
sam0021	100348	950	113.2	854	0.001	
sam0022	190044	950	141.1	1458	8e-04	
sam0023	375055	950	200	1836	7e-04	
TOTAL	3277090	950	140.7	3173	0.0012	17.55
