sample_id	condition	slide_id	timepoint_h	dataset	M1_mean	M2_mean	M2_M1_ratio	n_cells
sam0001	Control	sld0002	0	Mutter_01	0.500225501073232	0.526166708728652	1.05185902677845	11531
sam0002	MBRT_1h	sld0004	1	Mutter_01	0.495420829129463	0.517872578286665	1.04531854100009	2657
sam0003	MBRT_4h	sld0004	4	Mutter_01	0.499036357582753	0.545779662952909	1.09366713398714	15144
sam0006	SBRT_4h	sld0004	4	Mutter_01	0.496458547445051	0.518953305125507	1.04531044494293	13043
sam0004	MBRT_day2	sld0001	48	Mutter_01	0.500798436986626	0.580752260866509	1.15965270251436	21938
sam0007	SBRT_day2	sld0002	48	Mutter_01	0.507125668961418	0.525573505228597	1.03637724807928	8991
sam0005	MBRT_day6	sld0001	144	Mutter_01	0.501739108347796	0.515383061625631	1.02719332228808	20239
sam0008	SBRT_day6	sld0002	144	Mutter_01	0.501431194598223	0.510173419553757	1.01743454545651	24692
sam0012	Control	sld0005	48	Mutter_02	0.539155720168006	0.541602201952256	1.00453761630033	24565
sam0013	MBRT_day2	sld0005	48	Mutter_02	0.530271878649356	0.575224286247248	1.08477237697837	42157
sam0014	SBRT_day2	sld0005	48	Mutter_02	0.522844692139373	0.567606931822533	1.08561287961058	23191
sam0015	Control	sld0006	48	Mutter_02	0.524936671083101	0.542749663294938	1.03393360226688	16899
sam0016	MBRT_day2	sld0006	48	Mutter_02	0.535212162283702	0.582927885274527	1.08915291234644	17550
sam0017	SBRT_day2	sld0006	48	Mutter_02	0.513248895963242	0.590033449385565	1.14960490714397	4842
sam0018	Control	sld0007	48	Mutter_02	0.507576388090043	0.549118937828691	1.08184492169734	3647
sam0019	MBRT_day2	sld0007	48	Mutter_02	0.508258398728229	0.544644246242479	1.07158926956307	4276
sam0020	SBRT_day2	sld0007	48	Mutter_02	0.513825137112718	0.582153052730681	1.13297892742638	8048
sam0021	Control	sld0008	48	Mutter_02	0.51169574687328	0.540069541952098	1.05545051967345	2610
sam0022	MBRT_day2	sld0008	48	Mutter_02	0.516995483048464	0.5606050186312	1.08435186962484	8722
sam0023	SBRT_day2	sld0008	48	Mutter_02	0.518761494417617	0.574667809343849	1.10776882156413	26233
