niche	cell_subtype	mean_frac
N1	Adipocyte	0.00916580098213419
N2	Adipocyte	0.0299932369541512
N3	Adipocyte	0.00327899802159054
N4	Adipocyte	0.0147159806590542
N5	Adipocyte	0.0292580317819428
N6	Adipocyte	0.0338200714108901
N1	DC	0.000978787731327893
N2	DC	0.00614687662321534
N3	DC	0.000304592111055663
N4	DC	0.000334200154402505
N5	DC	0.00379379880772086
N6	DC	0.00184774639149274
N1	Endothelial	0.0120193335039947
N2	Endothelial	0.0145652999968682
N3	Endothelial	0.0091072258192477
N4	Endothelial	0.00541526146844948
N5	Endothelial	0.0118938369585378
N6	Endothelial	0.0131830349202108
N1	Epithelial cells	0.000198984028384588
N2	Epithelial cells	0.00066671779622315
N3	Epithelial cells	4.50667562201687e-05
N4	Epithelial cells	1.72687009873634e-05
N5	Epithelial cells	0.00130504291316411
N6	Epithelial cells	0.000624736981392392
N1	Fibroblast	0.252383788461277
N2	Fibroblast	0.241451021952044
N3	Fibroblast	0.094129010985092
N4	Fibroblast	0.0941052781276772
N5	Fibroblast	0.241534804172263
N6	Fibroblast	0.472091068430472
N1	ILC	0.00853827665657675
N2	ILC	0.0311107082721818
N3	ILC	0.00683574820386949
N4	ILC	0.000596278087034258
N5	ILC	0.0172284610174219
N6	ILC	0.00678598853781605
N1	Macrophages	0.0662825742463996
N2	Macrophages	0.361158677092576
N3	Macrophages	0.0578997325578466
N4	Macrophages	0.0165383365161906
N5	Macrophages	0.07896787806264
N6	Macrophages	0.0823780786734368
N1	Mast cells	0.000432613069685726
N2	Mast cells	0.000185286540492864
N3	Mast cells	0.000458976201620721
N4	Mast cells	1.82845069277965e-05
N5	Mast cells	0.00012405498906084
N6	Mast cells	0.000174622663201685
N1	Neutrophils	5.2840256341359e-05
N2	Neutrophils	0.000300328042586263
N3	Neutrophils	3.08420175290542e-05
N4	Neutrophils	3.35215960342936e-05
N5	Neutrophils	0.000117047698883764
N6	Neutrophils	9.13243990160387e-05
N1	NK cells	0.00167316899784349
N2	NK cells	0.00177686829142477
N3	NK cells	0.00172341191885118
N4	NK cells	9.65015643411481e-05
N5	NK cells	0.00139860321349147
N6	NK cells	0.000676906857789976
N1	Plasma cells	0.000252723468267305
N2	Plasma cells	0.00496351789941052
N3	Plasma cells	6.79046394398478e-05
N4	Plasma cells	2.94583722725611e-05
N5	Plasma cells	0.00425602043014278
N6	Plasma cells	0.000606298563538848
N1	SmoothMuscle	0.00696132029765104
N2	SmoothMuscle	0.0122102610047694
N3	SmoothMuscle	0.00154575493776705
N4	SmoothMuscle	0.807405225305788
N5	SmoothMuscle	0.0227622737878279
N6	SmoothMuscle	0.0216039688152211
N1	T cells	0.00129752185015949
N2	T cells	0.0117954143760038
N3	T cells	0.000564378470270697
N4	T cells	0.000207224411848361
N5	T cells	0.0259168520138181
N6	T cells	0.00219482249226617
N1	Tumor	0.530167237559237
N2	Tumor	0.104761149438757
N3	Tumor	0.777064501141897
N4	Tumor	0.0160233229043908
N5	Tumor	0.153403466792021
N6	Tumor	0.207935569660913
N1	unassigned	0.10959502889064
N2	unassigned	0.178914635719417
N3	unassigned	0.0469438562182042
N4	unassigned	0.0444638576246327
N5	unassigned	0.408039827361094
N6	unassigned	0.155985761202996
