sample_id	niche	condition	timepoint_h	dataset	slide_id	n	frac
sam0001	N1	Control	0	Mutter_01	sld0002	69996	0.549423464862362
sam0001	N2	Control	0	Mutter_01	sld0002	14274	0.112041695774692
sam0001	N3	Control	0	Mutter_01	sld0002	15096	0.11849386572893
sam0001	N4	Control	0	Mutter_01	sld0002	1724	0.0135322883225143
sam0001	N5	Control	0	Mutter_01	sld0002	5055	0.0396784904120127
sam0001	N6	Control	0	Mutter_01	sld0002	21254	0.166830194899489
sam0002	N1	MBRT_1h	1	Mutter_01	sld0004	19527	0.451972039625961
sam0002	N2	MBRT_1h	1	Mutter_01	sld0004	1862	0.043097861309138
sam0002	N3	MBRT_1h	1	Mutter_01	sld0004	2276	0.0526803073789464
sam0002	N4	MBRT_1h	1	Mutter_01	sld0004	7728	0.178872326636423
sam0002	N5	MBRT_1h	1	Mutter_01	sld0004	1944	0.0449958337191001
sam0002	N6	MBRT_1h	1	Mutter_01	sld0004	9867	0.228381631330432
sam0003	N1	MBRT_4h	4	Mutter_01	sld0004	65541	0.389925395333341
sam0003	N2	MBRT_4h	4	Mutter_01	sld0004	14892	0.0885975036588413
sam0003	N3	MBRT_4h	4	Mutter_01	sld0004	3357	0.0199719191366324
sam0003	N5	MBRT_4h	4	Mutter_01	sld0004	20688	0.123079851980534
sam0003	N6	MBRT_4h	4	Mutter_01	sld0004	63608	0.378425329890651
sam0004	N1	MBRT_day2	48	Mutter_01	sld0001	23491	0.178954505286894
sam0004	N2	MBRT_day2	48	Mutter_01	sld0001	33668	0.256482920437578
sam0004	N3	MBRT_day2	48	Mutter_01	sld0001	1077	0.0082045890849255
sam0004	N5	MBRT_day2	48	Mutter_01	sld0001	17628	0.134290154493098
sam0004	N6	MBRT_day2	48	Mutter_01	sld0001	55404	0.422067830697504
sam0005	N1	MBRT_day6	144	Mutter_01	sld0001	3450	0.0308043965463361
sam0005	N2	MBRT_day6	144	Mutter_01	sld0001	36448	0.325437288498799
sam0005	N3	MBRT_day6	144	Mutter_01	sld0001	26	0.000232149075421663
sam0005	N5	MBRT_day6	144	Mutter_01	sld0001	50563	0.451467450020983
sam0005	N6	MBRT_day6	144	Mutter_01	sld0001	21510	0.19205871585846
sam0006	N1	SBRT_4h	4	Mutter_01	sld0004	79162	0.476411716206376
sam0006	N2	SBRT_4h	4	Mutter_01	sld0004	9330	0.0561496843460939
sam0006	N3	SBRT_4h	4	Mutter_01	sld0004	3686	0.0221830371382317
sam0006	N4	SBRT_4h	4	Mutter_01	sld0004	66	0.000397200339425745
sam0006	N5	SBRT_4h	4	Mutter_01	sld0004	16771	0.100931013522866
sam0006	N6	SBRT_4h	4	Mutter_01	sld0004	57148	0.343927348447007
sam0007	N1	SBRT_day2	48	Mutter_01	sld0002	33475	0.3859190002421
sam0007	N2	SBRT_day2	48	Mutter_01	sld0002	11537	0.133005153272386
sam0007	N3	SBRT_day2	48	Mutter_01	sld0002	2727	0.031438420124278
sam0007	N5	SBRT_day2	48	Mutter_01	sld0002	12389	0.142827497953678
sam0007	N6	SBRT_day2	48	Mutter_01	sld0002	26613	0.306809928407558
sam0008	N1	SBRT_day6	144	Mutter_01	sld0002	10432	0.0889624178129504
sam0008	N2	SBRT_day6	144	Mutter_01	sld0002	51339	0.43781073313833
sam0008	N3	SBRT_day6	144	Mutter_01	sld0002	127	0.00108303556961701
sam0008	N4	SBRT_day6	144	Mutter_01	sld0002	16	0.000136445426093482
sam0008	N5	SBRT_day6	144	Mutter_01	sld0002	40759	0.347586195134015
sam0008	N6	SBRT_day6	144	Mutter_01	sld0002	14590	0.124421172918994
sam0012	N1	Control	48	Mutter_02	sld0005	77704	0.260674700088565
sam0012	N2	Control	48	Mutter_02	sld0005	8814	0.0295684495853573
sam0012	N3	Control	48	Mutter_02	sld0005	149284	0.500805131370602
sam0012	N5	Control	48	Mutter_02	sld0005	46227	0.155078366120072
sam0012	N6	Control	48	Mutter_02	sld0005	16059	0.0538733528354043
sam0013	N1	MBRT_day2	48	Mutter_02	sld0005	42342	0.190536618292271
sam0013	N2	MBRT_day2	48	Mutter_02	sld0005	46592	0.20966137923276
sam0013	N3	MBRT_day2	48	Mutter_02	sld0005	63967	0.287847901901226
sam0013	N4	MBRT_day2	48	Mutter_02	sld0005	29	0.00013049836877039
sam0013	N5	MBRT_day2	48	Mutter_02	sld0005	41160	0.18521768477894
sam0013	N6	MBRT_day2	48	Mutter_02	sld0005	28135	0.126605917426032
sam0014	N1	SBRT_day2	48	Mutter_02	sld0005	93841	0.262045913395084
sam0014	N2	SBRT_day2	48	Mutter_02	sld0005	10212	0.0285164572797668
sam0014	N3	SBRT_day2	48	Mutter_02	sld0005	214449	0.598837225537476
sam0014	N4	SBRT_day2	48	Mutter_02	sld0005	1073	0.00299629442432332
sam0014	N5	SBRT_day2	48	Mutter_02	sld0005	9255	0.0258440865769919
sam0014	N6	SBRT_day2	48	Mutter_02	sld0005	29279	0.0817600227863584
sam0015	N1	Control	48	Mutter_02	sld0006	58950	0.268694677156167
sam0015	N2	Control	48	Mutter_02	sld0006	13633	0.0621393474753184
sam0015	N3	Control	48	Mutter_02	sld0006	87571	0.399149475373073
sam0015	N5	Control	48	Mutter_02	sld0006	45261	0.206300081132574
sam0015	N6	Control	48	Mutter_02	sld0006	13979	0.0637164188628677
sam0016	N1	MBRT_day2	48	Mutter_02	sld0006	43799	0.273916659891557
sam0016	N2	MBRT_day2	48	Mutter_02	sld0006	12764	0.0798253897772969
sam0016	N3	MBRT_day2	48	Mutter_02	sld0006	40273	0.251865239932708
sam0016	N4	MBRT_day2	48	Mutter_02	sld0006	127	0.000794251371178056
sam0016	N5	MBRT_day2	48	Mutter_02	sld0006	40025	0.250314260877179
sam0016	N6	MBRT_day2	48	Mutter_02	sld0006	22911	0.143284198150082
sam0017	N1	SBRT_day2	48	Mutter_02	sld0006	28850	0.273755527299641
sam0017	N2	SBRT_day2	48	Mutter_02	sld0006	1965	0.0186457404209288
sam0017	N3	SBRT_day2	48	Mutter_02	sld0006	55475	0.526398193308409
sam0017	N4	SBRT_day2	48	Mutter_02	sld0006	5467	0.0518759607538003
sam0017	N5	SBRT_day2	48	Mutter_02	sld0006	4198	0.0398345131231852
sam0017	N6	SBRT_day2	48	Mutter_02	sld0006	9431	0.0894900650940353
sam0018	N1	Control	48	Mutter_02	sld0007	34762	0.398564516498888
sam0018	N2	Control	48	Mutter_02	sld0007	110	0.00126120754890046
sam0018	N3	Control	48	Mutter_02	sld0007	43396	0.497557843564402
sam0018	N4	Control	48	Mutter_02	sld0007	3580	0.0410465729551239
sam0018	N5	Control	48	Mutter_02	sld0007	1784	0.020454493338531
sam0018	N6	Control	48	Mutter_02	sld0007	3586	0.0411153660941549
sam0019	N1	MBRT_day2	48	Mutter_02	sld0007	39209	0.351143192341104
sam0019	N2	MBRT_day2	48	Mutter_02	sld0007	1142	0.0102273846732521
sam0019	N3	MBRT_day2	48	Mutter_02	sld0007	51121	0.45782323282077
sam0019	N4	MBRT_day2	48	Mutter_02	sld0007	7826	0.0700871387503246
sam0019	N5	MBRT_day2	48	Mutter_02	sld0007	1691	0.0151440520862253
sam0019	N6	MBRT_day2	48	Mutter_02	sld0007	10672	0.0955749993283241
sam0020	N1	SBRT_day2	48	Mutter_02	sld0007	24425	0.250404953763507
sam0020	N2	SBRT_day2	48	Mutter_02	sld0007	6239	0.0639621906460807
sam0020	N3	SBRT_day2	48	Mutter_02	sld0007	49242	0.504828689180046
sam0020	N4	SBRT_day2	48	Mutter_02	sld0007	3509	0.0359742469910398
sam0020	N5	SBRT_day2	48	Mutter_02	sld0007	4490	0.0460314531176314
sam0020	N6	SBRT_day2	48	Mutter_02	sld0007	9637	0.0987984663016957
sam0021	N1	Control	48	Mutter_02	sld0008	46037	0.458773468330211
sam0021	N2	Control	48	Mutter_02	sld0008	457	0.00455415155259696
sam0021	N3	Control	48	Mutter_02	sld0008	27496	0.274006457527803
sam0021	N4	Control	48	Mutter_02	sld0008	14893	0.148413520947104
sam0021	N5	Control	48	Mutter_02	sld0008	4492	0.0447642205126161
sam0021	N6	Control	48	Mutter_02	sld0008	6973	0.0694881811296688
sam0022	N1	MBRT_day2	48	Mutter_02	sld0008	74260	0.390751615415378
sam0022	N2	MBRT_day2	48	Mutter_02	sld0008	1938	0.010197638441624
sam0022	N3	MBRT_day2	48	Mutter_02	sld0008	83549	0.439629769948012
sam0022	N4	MBRT_day2	48	Mutter_02	sld0008	1750	0.00920839384563575
sam0022	N5	MBRT_day2	48	Mutter_02	sld0008	13335	0.0701679611037444
sam0022	N6	MBRT_day2	48	Mutter_02	sld0008	15212	0.0800446212456063
sam0023	N1	SBRT_day2	48	Mutter_02	sld0008	76049	0.202767594086201
sam0023	N2	SBRT_day2	48	Mutter_02	sld0008	9637	0.0256948980816147
sam0023	N3	SBRT_day2	48	Mutter_02	sld0008	255211	0.680462865446401
sam0023	N4	SBRT_day2	48	Mutter_02	sld0008	1434	0.00382343922891309
sam0023	N5	SBRT_day2	48	Mutter_02	sld0008	7598	0.020258362106891
sam0023	N6	SBRT_day2	48	Mutter_02	sld0008	25126	0.0669928410499793
