cell_type	pathway_name	dataset	pearson_r	n_samples
Adipocyte	DNA_Damage_Repair	Mutter_01	0.9526	8
Adipocyte	HALLMARK_ADIPOGENESIS	Mutter_01	0.9885	8
Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	Mutter_01	0.9991	8
Adipocyte	HALLMARK_ANDROGEN_RESPONSE	Mutter_01	0.9473	8
Adipocyte	HALLMARK_ANGIOGENESIS	Mutter_01	0.9342	8
Adipocyte	HALLMARK_APICAL_JUNCTION	Mutter_01	0.8284	8
Adipocyte	HALLMARK_APICAL_SURFACE	Mutter_01	0.9036	8
Adipocyte	HALLMARK_APOPTOSIS	Mutter_01	0.9914	8
Adipocyte	HALLMARK_BILE_ACID_METABOLISM	Mutter_01	0.9503	8
Adipocyte	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Mutter_01	0.8441	8
Adipocyte	HALLMARK_COAGULATION	Mutter_01	0.7242	8
Adipocyte	HALLMARK_COMPLEMENT	Mutter_01	0.9326	8
Adipocyte	HALLMARK_DNA_REPAIR	Mutter_01	0.9121	8
Adipocyte	HALLMARK_E2F_TARGETS	Mutter_01	0.7616	8
Adipocyte	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Mutter_01	0.9989	8
Adipocyte	HALLMARK_ESTROGEN_RESPONSE_EARLY	Mutter_01	0.964	8
Adipocyte	HALLMARK_ESTROGEN_RESPONSE_LATE	Mutter_01	0.9815	8
Adipocyte	HALLMARK_FATTY_ACID_METABOLISM	Mutter_01	0.9553	8
Adipocyte	HALLMARK_G2M_CHECKPOINT	Mutter_01	0.6973	8
Adipocyte	HALLMARK_GLYCOLYSIS	Mutter_01	0.8426	8
Adipocyte	HALLMARK_HEDGEHOG_SIGNALING	Mutter_01	0.9442	8
Adipocyte	HALLMARK_HEME_METABOLISM	Mutter_01	0.8648	8
Adipocyte	HALLMARK_HYPOXIA	Mutter_01	0.9803	8
Adipocyte	HALLMARK_IL2_STAT5_SIGNALING	Mutter_01	0.9811	8
Adipocyte	HALLMARK_IL6_JAK_STAT3_SIGNALING	Mutter_01	0.9952	8
Adipocyte	HALLMARK_INFLAMMATORY_RESPONSE	Mutter_01	0.9709	8
Adipocyte	HALLMARK_INTERFERON_ALPHA_RESPONSE	Mutter_01	0.9402	8
Adipocyte	HALLMARK_INTERFERON_GAMMA_RESPONSE	Mutter_01	0.9895	8
Adipocyte	HALLMARK_KRAS_SIGNALING_DN	Mutter_01	0.2189	8
Adipocyte	HALLMARK_KRAS_SIGNALING_UP	Mutter_01	0.942	8
Adipocyte	HALLMARK_MITOTIC_SPINDLE	Mutter_01	0.9838	8
Adipocyte	HALLMARK_MTORC1_SIGNALING	Mutter_01	0.9245	8
Adipocyte	HALLMARK_MYC_TARGETS_V1	Mutter_01	0.8042	8
Adipocyte	HALLMARK_MYC_TARGETS_V2	Mutter_01	0.9516	8
Adipocyte	HALLMARK_MYOGENESIS	Mutter_01	0.9968	8
Adipocyte	HALLMARK_NOTCH_SIGNALING	Mutter_01	0.8782	8
Adipocyte	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Mutter_01	0.5424	8
Adipocyte	HALLMARK_P53_PATHWAY	Mutter_01	0.9422	8
Adipocyte	HALLMARK_PANCREAS_BETA_CELLS	Mutter_01	0.6952	8
Adipocyte	HALLMARK_PEROXISOME	Mutter_01	0.8803	8
Adipocyte	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Mutter_01	0.608	8
Adipocyte	HALLMARK_PROTEIN_SECRETION	Mutter_01	0.7231	8
Adipocyte	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Mutter_01	0.9824	8
Adipocyte	HALLMARK_SPERMATOGENESIS	Mutter_01	0.8576	8
Adipocyte	HALLMARK_TGF_BETA_SIGNALING	Mutter_01	0.9707	8
Adipocyte	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Mutter_01	0.9694	8
Adipocyte	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Mutter_01	0.3845	8
Adipocyte	HALLMARK_UV_RESPONSE_DN	Mutter_01	0.9984	8
