sample_id	cell_type	pathway_name	pathway_source	tier	score_type	mean	sd	median	n_cells	condition	treatment	timepoint_h	dataset	slide_id	n_set_genes	n_panel_genes	panel_coverage_frac
sam0001	Adipocyte	Angiogenesis	nanostring	primary	AMS	0.0114370100290758	0.216827044462589	-0.00861178338218571	1393	Control	NT	0	Mutter_01	sld0002	36	30	0.8333
sam0002	Adipocyte	Angiogenesis	nanostring	primary	AMS	0.0291778400215196	0.207220137702921	0.00741242272148222	678	MBRT_1h	MBRT	1	Mutter_01	sld0004	36	30	0.8333
sam0003	Adipocyte	Angiogenesis	nanostring	primary	AMS	0.00953956721954147	0.210850384537505	-0.0126832201754065	3003	MBRT_4h	MBRT	4	Mutter_01	sld0004	36	30	0.8333
sam0004	Adipocyte	Angiogenesis	nanostring	primary	AMS	0.00698079634397301	0.211072980697874	-0.0174321456251393	3027	MBRT_day2	MBRT	48	Mutter_01	sld0001	36	30	0.8333
sam0005	Adipocyte	Angiogenesis	nanostring	primary	AMS	-0.00442585999728528	0.196439366190744	-0.017062039724191	3757	MBRT_day6	MBRT	144	Mutter_01	sld0001	36	30	0.8333
sam0006	Adipocyte	Angiogenesis	nanostring	primary	AMS	0.0158815959169986	0.212180389656198	-0.00479993411810548	2618	SBRT_4h	SBRT	4	Mutter_01	sld0004	36	30	0.8333
sam0007	Adipocyte	Angiogenesis	nanostring	primary	AMS	-0.00107819400159002	0.203951012410944	-0.0261595407473614	1570	SBRT_day2	SBRT	48	Mutter_01	sld0002	36	30	0.8333
sam0008	Adipocyte	Angiogenesis	nanostring	primary	AMS	-0.0107218598459674	0.195047964420556	-0.0288079107214206	3185	SBRT_day6	SBRT	144	Mutter_01	sld0002	36	30	0.8333
sam0001	Adipocyte	Angiogenesis	nanostring	primary	UCell	0.0476113029085363	0.0390771379714376	0.0343015214384509	1393	Control	NT	0	Mutter_01	sld0002	36	30	0.8333
sam0002	Adipocyte	Angiogenesis	nanostring	primary	UCell	0.0469532470817677	0.0388254985163724	0.0342323651452282	678	MBRT_1h	MBRT	1	Mutter_01	sld0004	36	30	0.8333
sam0003	Adipocyte	Angiogenesis	nanostring	primary	UCell	0.0461140058650438	0.0388463061748286	0.0341632088520055	3003	MBRT_4h	MBRT	4	Mutter_01	sld0004	36	30	0.8333
sam0004	Adipocyte	Angiogenesis	nanostring	primary	UCell	0.0433210373581067	0.0386346465409005	0.0336099585062241	3027	MBRT_day2	MBRT	48	Mutter_01	sld0001	36	30	0.8333
sam0005	Adipocyte	Angiogenesis	nanostring	primary	UCell	0.0382437798911838	0.0354397118638998	0.033195020746888	3757	MBRT_day6	MBRT	144	Mutter_01	sld0001	36	30	0.8333
sam0006	Adipocyte	Angiogenesis	nanostring	primary	UCell	0.0474642516380379	0.0395892197823924	0.0341632088520055	2618	SBRT_4h	SBRT	4	Mutter_01	sld0004	36	30	0.8333
sam0007	Adipocyte	Angiogenesis	nanostring	primary	UCell	0.0425956074741659	0.037198929933038	0.0334716459197787	1570	SBRT_day2	SBRT	48	Mutter_01	sld0002	36	30	0.8333
sam0008	Adipocyte	Angiogenesis	nanostring	primary	UCell	0.0384477289160164	0.0354508126692375	0.033195020746888	3185	SBRT_day6	SBRT	144	Mutter_01	sld0002	36	30	0.8333
sam0001	Adipocyte	DNA_Damage_Repair	nanostring	primary	AMS	0.0407469169989975	0.318064876430183	0.0157442769080104	1393	Control	NT	0	Mutter_01	sld0002	18	17	0.9444
sam0002	Adipocyte	DNA_Damage_Repair	nanostring	primary	AMS	0.0390385001050276	0.31583266434755	-0.0040861875313595	678	MBRT_1h	MBRT	1	Mutter_01	sld0004	18	17	0.9444
