sample_id	cell_type	pathway_name	pathway_source	tier	score_type	mean	sd	median	n_cells	condition	timepoint_h	dataset	slide_id	n_set_genes	n_panel_genes	panel_coverage_frac
sam0001	Adipocyte	DNA_Damage_Repair	project	primary	AMS	-0.0522348157076964	0.321651950169152	-0.170172034117415	1393	Control	0	Mutter_01	sld0002	18	10	0.5556
sam0002	Adipocyte	DNA_Damage_Repair	project	primary	AMS	-0.0391082746787884	0.334497111635463	-0.164969833636268	678	MBRT_1h	1	Mutter_01	sld0004	18	10	0.5556
sam0003	Adipocyte	DNA_Damage_Repair	project	primary	AMS	0.00485835822432947	0.360334198031924	-0.143431829562328	3003	MBRT_4h	4	Mutter_01	sld0004	18	10	0.5556
sam0004	Adipocyte	DNA_Damage_Repair	project	primary	AMS	-0.0153154933741906	0.337022704328906	-0.146176003680735	3027	MBRT_day2	48	Mutter_01	sld0001	18	10	0.5556
sam0005	Adipocyte	DNA_Damage_Repair	project	primary	AMS	-0.0156658147228715	0.33576334813483	-0.152058184128915	3757	MBRT_day6	144	Mutter_01	sld0001	18	10	0.5556
sam0006	Adipocyte	DNA_Damage_Repair	project	primary	AMS	-0.0130683217046064	0.361952337005896	-0.150077516933453	2618	SBRT_4h	4	Mutter_01	sld0004	18	10	0.5556
sam0007	Adipocyte	DNA_Damage_Repair	project	primary	AMS	-0.0078005576387883	0.338859932065052	-0.142707447934483	1570	SBRT_day2	48	Mutter_01	sld0002	18	10	0.5556
sam0008	Adipocyte	DNA_Damage_Repair	project	primary	AMS	-0.0105343483355712	0.338597456735636	-0.137861696256965	3185	SBRT_day6	144	Mutter_01	sld0002	18	10	0.5556
sam0001	Adipocyte	DNA_Damage_Repair	project	primary	UCell	0.500096679419179	0.0296810877089054	0.488088935944944	1393	Control	0	Mutter_01	sld0002	18	10	0.5556
sam0002	Adipocyte	DNA_Damage_Repair	project	primary	UCell	0.502100266876545	0.0302880688464397	0.489147697194283	678	MBRT_1h	1	Mutter_01	sld0004	18	10	0.5556
sam0003	Adipocyte	DNA_Damage_Repair	project	primary	UCell	0.506655705332254	0.0335672332269413	0.490206458443621	3003	MBRT_4h	4	Mutter_01	sld0004	18	10	0.5556
sam0004	Adipocyte	DNA_Damage_Repair	project	primary	UCell	0.503478014964315	0.0306476823913387	0.489677077818952	3027	MBRT_day2	48	Mutter_01	sld0001	18	10	0.5556
sam0005	Adipocyte	DNA_Damage_Repair	project	primary	UCell	0.503411792605099	0.0303400780850243	0.489677077818952	3757	MBRT_day6	144	Mutter_01	sld0001	18	10	0.5556
sam0006	Adipocyte	DNA_Damage_Repair	project	primary	UCell	0.504695432241909	0.0337673445715257	0.489677077818952	2618	SBRT_4h	4	Mutter_01	sld0004	18	10	0.5556
sam0007	Adipocyte	DNA_Damage_Repair	project	primary	UCell	0.504863996385376	0.030599535338086	0.490206458443621	1570	SBRT_day2	48	Mutter_01	sld0002	18	10	0.5556
sam0008	Adipocyte	DNA_Damage_Repair	project	primary	UCell	0.503460969190379	0.0302898670176003	0.490206458443621	3185	SBRT_day6	144	Mutter_01	sld0002	18	10	0.5556
sam0001	Adipocyte	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	exploratory	AMS	0.10237916733165	0.286638049728052	0.0833415856082905	1393	Control	0	Mutter_01	sld0002	200	19	0.095
sam0002	Adipocyte	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	exploratory	AMS	0.111946991101165	0.29921543335717	0.0813790685661573	678	MBRT_1h	1	Mutter_01	sld0004	200	19	0.095
sam0003	Adipocyte	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	exploratory	AMS	0.0520087502688877	0.262257991545973	0.0248899664464327	3003	MBRT_4h	4	Mutter_01	sld0004	200	19	0.095
sam0004	Adipocyte	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	exploratory	AMS	0.0807010745949462	0.282210465215372	0.0441084035126393	3027	MBRT_day2	48	Mutter_01	sld0001	200	19	0.095
sam0005	Adipocyte	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	exploratory	AMS	0.0946697395573926	0.283650221835805	0.0778940623301319	3757	MBRT_day6	144	Mutter_01	sld0001	200	19	0.095
sam0006	Adipocyte	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	exploratory	AMS	0.0438273602262619	0.268481544733489	0.0091773550645812	2618	SBRT_4h	4	Mutter_01	sld0004	200	19	0.095
sam0007	Adipocyte	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	exploratory	AMS	0.0300253558164186	0.244816092475598	-0.0304106178257993	1570	SBRT_day2	48	Mutter_01	sld0002	200	19	0.095
sam0008	Adipocyte	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	exploratory	AMS	0.129289325910399	0.300208273860486	0.10898631023002	3185	SBRT_day6	144	Mutter_01	sld0002	200	19	0.095
sam0001	Adipocyte	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	exploratory	UCell	0.511869940005579	0.026544194903524	0.50996640537514	1393	Control	0	Mutter_01	sld0002	200	19	0.095
sam0002	Adipocyte	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	exploratory	UCell	0.514232047356198	0.0275863802780627	0.511632138857783	678	MBRT_1h	1	Mutter_01	sld0004	200	19	0.095
sam0003	Adipocyte	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	exploratory	UCell	0.507983272792903	0.0242756646860536	0.506243001119821	3003	MBRT_4h	4	Mutter_01	sld0004	200	19	0.095
sam0004	Adipocyte	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	exploratory	UCell	0.510432534956942	0.0258162453860029	0.508286674132139	3027	MBRT_day2	48	Mutter_01	sld0001	200	19	0.095
sam0005	Adipocyte	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	exploratory	UCell	0.512158506063038	0.0254769829124472	0.511478163493841	3757	MBRT_day6	144	Mutter_01	sld0001	200	19	0.095
sam0006	Adipocyte	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	exploratory	UCell	0.507529875433834	0.0246369304384075	0.50523516237402	2618	SBRT_4h	4	Mutter_01	sld0004	200	19	0.095
sam0007	Adipocyte	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	exploratory	UCell	0.505339708703931	0.0224154820600353	0.500853863381859	1570	SBRT_day2	48	Mutter_01	sld0002	200	19	0.095
sam0008	Adipocyte	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	exploratory	UCell	0.514665934769118	0.0269745781298095	0.512737961926092	3185	SBRT_day6	144	Mutter_01	sld0002	200	19	0.095
sam0001	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	exploratory	AMS	-0.000715761768560624	0.103416198783743	-0.00551665192020165	1393	Control	0	Mutter_01	sld0002	201	102	0.5075
sam0002	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	exploratory	AMS	-0.0207249445093293	0.0977210236570915	-0.0237513319519151	678	MBRT_1h	1	Mutter_01	sld0004	201	102	0.5075
sam0003	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	exploratory	AMS	0.00404923437014479	0.102029288985245	-0.00245721577249448	3003	MBRT_4h	4	Mutter_01	sld0004	201	102	0.5075
sam0004	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	exploratory	AMS	0.0129810272423007	0.103885678511775	0.00446549679500322	3027	MBRT_day2	48	Mutter_01	sld0001	201	102	0.5075
sam0005	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	exploratory	AMS	0.019874100349356	0.103561920092626	0.0134983884006196	3757	MBRT_day6	144	Mutter_01	sld0001	201	102	0.5075
sam0006	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	exploratory	AMS	-0.0065663862375421	0.100862358354883	-0.0122361989742658	2618	SBRT_4h	4	Mutter_01	sld0004	201	102	0.5075
sam0007	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	exploratory	AMS	0.0189695308674306	0.103441390208543	0.0135053693849552	1570	SBRT_day2	48	Mutter_01	sld0002	201	102	0.5075
