cell_type	pathway_name	dataset	pearson_r	n_samples
Adipocyte	Angiogenesis	Mutter_01	0.9297	8
Adipocyte	DNA_Damage_Repair	Mutter_01	0.9106	8
Adipocyte	Fibrosis_remodeling	Mutter_01	0.9991	8
Adipocyte	HALLMARK_ADIPOGENESIS	Mutter_01	0.9977	8
Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	Mutter_01	0.9992	8
Adipocyte	HALLMARK_ANDROGEN_RESPONSE	Mutter_01	0.9288	8
Adipocyte	HALLMARK_ANGIOGENESIS	Mutter_01	0.9872	8
Adipocyte	HALLMARK_APICAL_JUNCTION	Mutter_01	0.9275	8
Adipocyte	HALLMARK_APICAL_SURFACE	Mutter_01	0.8513	8
Adipocyte	HALLMARK_APOPTOSIS	Mutter_01	0.9904	8
Adipocyte	HALLMARK_BILE_ACID_METABOLISM	Mutter_01	0.9457	8
Adipocyte	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Mutter_01	0.8015	8
Adipocyte	HALLMARK_COAGULATION	Mutter_01	0.83	8
Adipocyte	HALLMARK_COMPLEMENT	Mutter_01	0.9642	8
Adipocyte	HALLMARK_DNA_REPAIR	Mutter_01	0.849	8
Adipocyte	HALLMARK_E2F_TARGETS	Mutter_01	0.8239	8
Adipocyte	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION;HALLMARK_TGF_BETA_SIGNALING	Mutter_01	0.9991	8
Adipocyte	HALLMARK_ESTROGEN_RESPONSE_EARLY	Mutter_01	0.9545	8
Adipocyte	HALLMARK_ESTROGEN_RESPONSE_LATE	Mutter_01	0.9498	8
Adipocyte	HALLMARK_FATTY_ACID_METABOLISM	Mutter_01	0.942	8
Adipocyte	HALLMARK_G2M_CHECKPOINT	Mutter_01	0.8281	8
Adipocyte	HALLMARK_GLYCOLYSIS	Mutter_01	0.8823	8
Adipocyte	HALLMARK_HEDGEHOG_SIGNALING	Mutter_01	0.8469	8
Adipocyte	HALLMARK_HEME_METABOLISM	Mutter_01	0.8555	8
Adipocyte	HALLMARK_HYPOXIA	Mutter_01	0.9737	8
Adipocyte	HALLMARK_IL2_STAT5_SIGNALING	Mutter_01	0.991	8
Adipocyte	HALLMARK_IL6_JAK_STAT3_SIGNALING	Mutter_01	0.993	8
Adipocyte	HALLMARK_INFLAMMATORY_RESPONSE	Mutter_01	0.9826	8
Adipocyte	HALLMARK_INTERFERON_ALPHA_RESPONSE	Mutter_01	0.9315	8
Adipocyte	HALLMARK_INTERFERON_GAMMA_RESPONSE	Mutter_01	0.9819	8
Adipocyte	HALLMARK_KRAS_SIGNALING_DN	Mutter_01	0.1737	8
