sample_id	cell_type	condition	slide_id	n_cells	total_counts	mean_libsize	frac_genes_with_count_gt_5
sam0001	Adipocyte	Control	sld0002	1393	65868	47.3	0.9989
sam0002	Adipocyte	MBRT_1h	sld0004	678	31303	46.2	0.9779
sam0003	Adipocyte	MBRT_4h	sld0004	3003	138749	46.2	1
sam0004	Adipocyte	MBRT_day2	sld0001	3027	132916	43.9	1
sam0005	Adipocyte	MBRT_day6	sld0001	3757	147389	39.2	1
sam0006	Adipocyte	SBRT_4h	sld0004	2618	124337	47.5	1
sam0007	Adipocyte	SBRT_day2	sld0002	1570	67975	43.3	0.9979
sam0008	Adipocyte	SBRT_day6	sld0002	3185	127309	40	1
sam0012	Adipocyte	Control	sld0005	2889	150487	52.1	0.9821
sam0013	Adipocyte	MBRT_day2	sld0005	3075	144121	46.9	0.9842
sam0014	Adipocyte	SBRT_day2	sld0005	5055	253807	50.2	0.9926
sam0015	Adipocyte	Control	sld0006	3935	192070	48.8	0.9832
sam0016	Adipocyte	MBRT_day2	sld0006	2197	101885	46.4	0.9295
sam0017	Adipocyte	SBRT_day2	sld0006	1415	67509	47.7	0.8768
sam0018	Adipocyte	Control	sld0007	667	35202	52.8	0.8232
sam0019	Adipocyte	MBRT_4h	sld0007	1393	71068	51	0.9516
sam0020	Adipocyte	SBRT_4h	sld0007	1109	56316	50.8	0.8737
sam0021	Adipocyte	Control	sld0008	1139	54869	48.2	0.9453
sam0022	Adipocyte	MBRT_4h	sld0008	2919	133860	45.9	0.9863
sam0023	Adipocyte	SBRT_4h	sld0008	4190	202522	48.3	0.9811
sam0001	DC	Control	sld0002	252	23204	92.1	0.9421
sam0002	DC	MBRT_1h	sld0004	59	6098	103.4	0.4337
sam0003	DC	MBRT_4h	sld0004	392	32418	82.7	0.9832
sam0004	DC	MBRT_day2	sld0001	304	33706	110.9	0.9621
sam0005	DC	MBRT_day6	sld0001	1257	119749	95.3	1
sam0006	DC	SBRT_4h	sld0004	476	40038	84.1	0.9937
sam0007	DC	SBRT_day2	sld0002	229	19062	83.2	0.9032
sam0008	DC	SBRT_day6	sld0002	846	74039	87.5	0.9989
sam0012	DC	Control	sld0005	100	8336	83.4	0.3737
sam0013	DC	MBRT_day2	sld0005	151	14832	98.2	0.5421
sam0014	DC	SBRT_day2	sld0005	164	13783	84	0.5126
sam0015	DC	Control	sld0006	221	28303	128.1	0.6926
sam0016	DC	MBRT_day2	sld0006	82	7182	87.6	0.3211
sam0017	DC	SBRT_day2	sld0006	85	6516	76.7	0.2684
sam0018	DC	Control	sld0007	84	7610	90.6	0.3695
sam0019	DC	MBRT_4h	sld0007	121	10117	83.6	0.4779
sam0020	DC	SBRT_4h	sld0007	60	4425	73.8	0.2337
sam0021	DC	Control	sld0008	105	8259	78.7	0.4611
sam0022	DC	MBRT_4h	sld0008	173	13921	80.5	0.5968
sam0023	DC	SBRT_4h	sld0008	154	14350	93.2	0.5011
sam0001	Endothelial	Control	sld0002	1257	112616	89.6	1
sam0002	Endothelial	MBRT_1h	sld0004	399	32687	81.9	0.9768
sam0003	Endothelial	MBRT_4h	sld0004	1420	89589	63.1	0.9979
sam0004	Endothelial	MBRT_day2	sld0001	1297	92823	71.6	0.9989
sam0005	Endothelial	MBRT_day6	sld0001	1089	49305	45.3	1
sam0006	Endothelial	SBRT_4h	sld0004	1376	84536	61.4	1
sam0007	Endothelial	SBRT_day2	sld0002	622	32590	52.4	0.9684
sam0008	Endothelial	SBRT_day6	sld0002	907	45457	50.1	0.9937
sam0012	Endothelial	Control	sld0005	2266	246124	108.6	0.9968
sam0013	Endothelial	MBRT_day2	sld0005	2860	300975	105.2	0.9989
sam0014	Endothelial	SBRT_day2	sld0005	4815	555734	115.4	1
sam0015	Endothelial	Control	sld0006	1880	166063	88.3	0.9863
sam0016	Endothelial	MBRT_day2	sld0006	2133	187825	88.1	0.9789
sam0017	Endothelial	SBRT_day2	sld0006	1120	102021	91.1	0.9074
sam0018	Endothelial	Control	sld0007	1335	168116	125.9	0.9895
sam0019	Endothelial	MBRT_4h	sld0007	1212	133787	110.4	0.9863
sam0020	Endothelial	SBRT_4h	sld0007	1723	193336	112.2	0.9895
sam0021	Endothelial	Control	sld0008	903	65830	72.9	0.9505
sam0022	Endothelial	MBRT_4h	sld0008	3286	389570	118.6	0.9989
sam0023	Endothelial	SBRT_4h	sld0008	5037	699947	139	1
sam0001	Epithelial cells	Control	sld0002	8	504	63	0.0042
sam0002	Epithelial cells	MBRT_1h	sld0004	5	237	47.4	0.0032
sam0003	Epithelial cells	MBRT_4h	sld0004	95	6042	63.6	0.2989
sam0004	Epithelial cells	MBRT_day2	sld0001	44	5124	116.5	0.2084
