profile	lineage	source	n_panel_genes
ImmGen_cellFamily.RData:B	B	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Blood.endothelial	Endothelial	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:BM.Neutrophil	Neutrophil	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:CD8.T	T	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Colon.Treg.Nrplo	T	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Dendritic	DC	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:DN2a	T	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:DN2b	T	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:DN3	T	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:DN4	T	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Fibroblastic.reticular	Fibroblast	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:GC.centroblasts	B	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:GC.centrocyes	B	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:gdT	T	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:ILC	NK	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:ISP	T	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Ly6Chi.blood.monocytes	Macrophage	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Ly6Clo.blood.monocytes	Macrophage	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Lymphatic.endothelial	Endothelial	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Macrophage	Macrophage	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Memory.B	B	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Microglia	Macrophage	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:NK	NK	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:NKT	T	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:PerC.macrophage	Macrophage	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Pericyte	Pericyte	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Plasma	Plasma	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Plasmablast	Plasma	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:small.peritoneal.macs	Macrophage	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Spleen.CD19	B	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Spleen.CD4Act.48.hrs	T	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Spleen.Naive.CD4	T	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Spleen.Naive.CD8	T	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:spleen.red.pulp.macs	Macrophage	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Spleen.Treg	T	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Spleen.LN.Naive.CD4	T	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Thio.induced.Peritoneal.Neutrophil	Neutrophil	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Thymic.4+8+CD3lo.DP	T	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Thymic.CD4SP	T	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Thymic.CD8SP	T	ImmuneAtlas_ImmGen_cellFamily.RData	924
ImmGen_cellFamily.RData:Thymic.preT.DN1	T	ImmuneAtlas_ImmGen_cellFamily.RData	924
MammaryGland_Virgin.RData:B.cell	B	MammaryGland_Virgin_MCA.RData	726
MammaryGland_Virgin.RData:Dendritic.cell.Cst3.high	DC	MammaryGland_Virgin_MCA.RData	726
MammaryGland_Virgin.RData:Dendritic.cell.Fscn1.high	DC	MammaryGland_Virgin_MCA.RData	726
MammaryGland_Virgin.RData:Dendritic.cell.Siglech.high	DC	MammaryGland_Virgin_MCA.RData	726
MammaryGland_Virgin.RData:Luminal.cell	Epithelial	MammaryGland_Virgin_MCA.RData	726
MammaryGland_Virgin.RData:Luminal.progenitor	Epithelial	MammaryGland_Virgin_MCA.RData	726
MammaryGland_Virgin.RData:Macrophage.C1qc.high	Macrophage	MammaryGland_Virgin_MCA.RData	726
MammaryGland_Virgin.RData:Macrophage.Lyz1.high	Macrophage	MammaryGland_Virgin_MCA.RData	726
MammaryGland_Virgin.RData:NK.cell	NK	MammaryGland_Virgin_MCA.RData	726
MammaryGland_Virgin.RData:Stromal.cell.Col3a1.high	Fibroblast	MammaryGland_Virgin_MCA.RData	726
MammaryGland_Virgin.RData:Stromal.cell.Pi16.high	Fibroblast	MammaryGland_Virgin_MCA.RData	726
MammaryGland_Virgin.RData:T.cell.Cd8b1.high	T	MammaryGland_Virgin_MCA.RData	726
MammaryGland_Virgin.RData:T.cell.Ly6c2.high	T	MammaryGland_Virgin_MCA.RData	726
MammaryGland_Virgin.RData:T.cell.Ctla4.high	T	MammaryGland_Virgin_MCA.RData	726
