sample_id	condition	slide_id	timepoint_h	dataset	n_cells	n_tumor	n_immune	tumor_immune_edges	immune_immune_edges	mixing_score	mean_immune_frac	immune_per_tumor	enrichment_over_random
sam0001	Control	sld0002	0	Mutter_01	127399	56946	13045	70763	62211	1.13746765041552	0.102323016664181	1.24263337196642	0.606785162725759
sam0002	MBRT_1h	sld0004	1	Mutter_01	43204	14735	3151	19815	9851	2.01147091665821	0.0736806777150264	1.34475738038683	0.921912057477512
sam0003	MBRT_4h	sld0004	4	Mutter_01	168086	57039	16765	83217	63289	1.31487304270884	0.100367073997834	1.45894914006206	0.731371682542416
sam0004	MBRT_day2	sld0001	48	Mutter_01	118141	28006	20296	66329	124912	0.531005828102984	0.173312821120525	2.36838534599729	0.689306792376491
sam0005	MBRT_day6	sld0001	144	Mutter_01	100797	11656	25969	50815	185359	0.274143688733755	0.259565760885741	4.35955730954015	0.846067037871536
sam0006	SBRT_4h	sld0004	4	Mutter_01	166163	61788	14575	85704	42437	2.01955840422273	0.0877915059309233	1.38706544960186	0.790665373249381
sam0007	SBRT_day2	sld0002	48	Mutter_01	78067	27653	7258	38301	25871	1.48046074755518	0.0927523793664417	1.38505767909449	0.744883561820541
sam0008	SBRT_day6	sld0002	144	Mutter_01	105536	15823	34203	93064	254304	0.365955706555933	0.325590793662826	5.88156481071857	0.907401140052036
sam0012	Control	sld0005	48	Mutter_02	268279	162480	27415	313976	93727	3.34989917526433	0.102100984422933	1.93239783357952	0.945507492968957
sam0013	MBRT_day2	sld0005	48	Mutter_02	200002	82418	41953	296346	283979	1.04354899482004	0.210218397816022	3.59564658205732	0.857073996739956
sam0014	SBRT_day2	sld0005	48	Mutter_02	322298	222701	22003	275272	50655	5.43425130786694	0.0681285642479941	1.23606090677635	0.905285547725774
sam0015	Control	sld0006	48	Mutter_02	197454	105844	25828	167212	180721	0.925249417610571	0.131510123876954	1.57979668190922	0.603874039859269
sam0016	MBRT_day2	sld0006	48	Mutter_02	143909	61243	19975	164615	90963	1.80969185273133	0.139386000875553	2.68789902519472	0.968242455110754
sam0017	SBRT_day2	sld0006	48	Mutter_02	94847	61329	4879	53801	10338	5.20419810408203	0.0513405800921484	0.877252197166104	0.852682303183168
sam0018	Control	sld0007	48	Mutter_02	78496	52597	3993	54153	5254	10.3070041872859	0.050900682837342	1.02958343631766	1.01199826467808
sam0019	MBRT_day2	sld0007	48	Mutter_02	100495	63658	4623	55665	7529	7.39341213972639	0.0462062789193492	0.874438405227937	0.950429240032246
sam0020	SBRT_day2	sld0007	48	Mutter_02	87787	53613	8007	73041	27359	2.6697247706422	0.0908146992151458	1.36237479715741	0.746838992869097
sam0021	Control	sld0008	48	Mutter_02	90313	48307	3274	32961	4013	8.21355594318465	0.0364604209803683	0.682323472788623	0.941091627946837
sam0022	MBRT_day2	sld0008	48	Mutter_02	171039	107828	8994	107090	15122	7.08173522020897	0.0525710510468373	0.993155766591238	0.944342723826989
sam0023	SBRT_day2	sld0008	48	Mutter_02	337549	244647	25212	336985	60619	5.55906563948597	0.0746379044227653	1.37743360842357	0.922083406889113
