subcluster	n_cells	frac	frac_M01	frac_M02	minority_frac	neg_mean
0	304625	0.2288	0.188	0.812	0.188	0.006
1	293753	0.2206	0.5328	0.4672	0.4672	0.0153
2	260992	0.196	0.5602	0.4398	0.4398	0.0086
3	228201	0.1714	0.3165	0.6835	0.3165	0.0093
4	223638	0.1679	0.3979	0.6021	0.3979	0.0078
5	18005	0.0135	0.2588	0.7412	0.2588	0.0089
6	1757	0.0013	0.4735	0.5265	0.4735	0.0107
7	334	0.0003	0.3174	0.6826	0.3174	0.0057
8	49	0.0	0.449	0.551	0.449	0.0184
9	47	0.0	0.4255	0.5745	0.4255	0.0021
10	41	0.0	0.878	0.122	0.122	0.0244
11	24	0.0	0.1667	0.8333	0.1667	0.0083
12	19	0.0	0.2105	0.7895	0.2105	0.0053
13	16	0.0	0.5625	0.4375	0.4375	0.0
14	13	0.0	0.0	1.0	0.0	0.0
15	11	0.0	0.5455	0.4545	0.4545	0.0182
16	10	0.0	0.6	0.4	0.4	0.0
17	10	0.0	0.1	0.9	0.1	0.0
18	10	0.0	0.9	0.1	0.1	0.01
19	9	0.0	0.1111	0.8889	0.1111	0.0
20	6	0.0	0.1667	0.8333	0.1667	0.0
21	6	0.0	0.1667	0.8333	0.1667	0.0
22	6	0.0	0.5	0.5	0.5	0.0
23	5	0.0	0.6	0.4	0.4	0.02
24	4	0.0	0.25	0.75	0.25	0.0
25	4	0.0	0.0	1.0	0.0	0.0
26	3	0.0	0.3333	0.6667	0.3333	0.0
27	3	0.0	0.0	1.0	0.0	0.0333
