cohort	sample_id
mutter02_day2	sam0012
mutter02_day2	sam0013
mutter02_day2	sam0014
mutter02_day2	sam0015
mutter02_day2	sam0016
mutter02_day2	sam0017
combined_4h_treated	sam0003
combined_4h_treated	sam0006
combined_4h_treated	sam0019
combined_4h_treated	sam0020
combined_4h_treated	sam0022
combined_4h_treated	sam0023
combined_4h	sam0003
combined_4h	sam0006
combined_4h	sam0018
combined_4h	sam0019
combined_4h	sam0020
combined_4h	sam0021
combined_4h	sam0022
combined_4h	sam0023
mutter02_day2_pooledctrl	sam0012
mutter02_day2_pooledctrl	sam0013
mutter02_day2_pooledctrl	sam0014
mutter02_day2_pooledctrl	sam0015
mutter02_day2_pooledctrl	sam0016
mutter02_day2_pooledctrl	sam0017
mutter02_day2_pooledctrl	sam0018
mutter02_day2_pooledctrl	sam0021
mutter01_mbrt_4h	sam0003
mutter02_4h	sam0018
mutter02_4h	sam0019
mutter02_4h	sam0020
mutter02_4h	sam0021
mutter02_4h	sam0022
mutter02_4h	sam0023
mutter01_flank	sam0001
mutter01_flank	sam0002
mutter01_flank	sam0003
mutter01_flank	sam0004
mutter01_flank	sam0005
mutter01_flank	sam0006
mutter01_flank	sam0007
mutter01_flank	sam0008
mutter01_tongue	sam0009
mutter01_tongue	sam0010
mutter01_tongue	sam0011
