# msigdbr_version: 26.1.0
set	tier	concept	source	source_id	citation	n_total	n_panel	coverage	usable	thin	confirmatory
TypeI_interferon	primary	TypeI_interferon	nanostring	Type I Interferon Signaling		19	18	0.947368421052632	TRUE	FALSE	TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE	exploratory	TypeI_interferon	hallmark	HALLMARK_INTERFERON_ALPHA_RESPONSE		94	22	0.234042553191489	TRUE	FALSE	FALSE
TypeII_interferon	primary	TypeII_interferon	nanostring	Type II Interferon Signaling		17	16	0.941176470588235	TRUE	FALSE	TRUE
HALLMARK_INTERFERON_GAMMA_RESPONSE	exploratory	TypeII_interferon	hallmark	HALLMARK_INTERFERON_GAMMA_RESPONSE		188	59	0.313829787234043	TRUE	FALSE	FALSE
DNA_Damage_Repair	primary	DNA_Damage_Repair	nanostring	DNA Damage Repair		18	17	0.944444444444444	TRUE	FALSE	TRUE
HALLMARK_DNA_REPAIR	exploratory	DNA_Damage_Repair	hallmark	HALLMARK_DNA_REPAIR		148	5	0.0337837837837838	TRUE	FALSE	FALSE
Angiogenesis	primary	Angiogenesis	nanostring	Angiogenesis;VEGF Signaling		36	30	0.833333333333333	TRUE	FALSE	TRUE
HALLMARK_ANGIOGENESIS	exploratory	Angiogenesis	hallmark	HALLMARK_ANGIOGENESIS		36	19	0.527777777777778	TRUE	FALSE	FALSE
Hypoxia	primary	Hypoxia	nanostring	HIF1 Signaling		36	33	0.916666666666667	TRUE	FALSE	TRUE
HALLMARK_HYPOXIA	exploratory	Hypoxia	hallmark	HALLMARK_HYPOXIA		199	38	0.190954773869347	TRUE	FALSE	FALSE
Fibrosis_remodeling	primary	Fibrosis_remodeling	nanostring	Collagen;TGF-beta Signaling;EMT		140	136	0.971428571428571	TRUE	FALSE	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION;HALLMARK_TGF_BETA_SIGNALING	exploratory	Fibrosis_remodeling	hallmark	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION;HALLMARK_TGF_BETA_SIGNALING		242	81	0.334710743801653	TRUE	FALSE	FALSE
Stromal_stress_senescence	primary	Stromal_stress_senescence	nanostring	Senescence;Cellular Stress;p53 Signaling		95	92	0.968421052631579	TRUE	FALSE	TRUE
HALLMARK_P53_PATHWAY	exploratory	Stromal_stress_senescence	hallmark	HALLMARK_P53_PATHWAY		200	39	0.195	TRUE	FALSE	FALSE
SASP	exploratory	SASP	custom		doi:10.1371/journal.pbio.0060301	17	14	0.823529411764706	TRUE	FALSE	FALSE
HALLMARK_ADIPOGENESIS	exploratory	HALLMARK_ADIPOGENESIS	hallmark	HALLMARK_ADIPOGENESIS		200	19	0.095	TRUE	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	exploratory	HALLMARK_ALLOGRAFT_REJECTION	hallmark	HALLMARK_ALLOGRAFT_REJECTION		192	95	0.494791666666667	TRUE	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	exploratory	HALLMARK_ANDROGEN_RESPONSE	hallmark	HALLMARK_ANDROGEN_RESPONSE		96	16	0.166666666666667	TRUE	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	exploratory	HALLMARK_APICAL_JUNCTION	hallmark	HALLMARK_APICAL_JUNCTION		199	37	0.185929648241206	TRUE	FALSE	FALSE
HALLMARK_APICAL_SURFACE	exploratory	HALLMARK_APICAL_SURFACE	hallmark	HALLMARK_APICAL_SURFACE		44	10	0.227272727272727	TRUE	FALSE	FALSE
HALLMARK_APOPTOSIS	exploratory	HALLMARK_APOPTOSIS	hallmark	HALLMARK_APOPTOSIS		161	65	0.403726708074534	TRUE	FALSE	FALSE
HALLMARK_BILE_ACID_METABOLISM	exploratory	HALLMARK_BILE_ACID_METABOLISM	hallmark	HALLMARK_BILE_ACID_METABOLISM		111	6	0.0540540540540541	TRUE	FALSE	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	exploratory	HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	HALLMARK_CHOLESTEROL_HOMEOSTASIS		71	13	0.183098591549296	TRUE	FALSE	FALSE
HALLMARK_COAGULATION	exploratory	HALLMARK_COAGULATION	hallmark	HALLMARK_COAGULATION		134	28	0.208955223880597	TRUE	FALSE	FALSE
HALLMARK_COMPLEMENT	exploratory	HALLMARK_COMPLEMENT	hallmark	HALLMARK_COMPLEMENT		185	38	0.205405405405405	TRUE	FALSE	FALSE
HALLMARK_E2F_TARGETS	exploratory	HALLMARK_E2F_TARGETS	hallmark	HALLMARK_E2F_TARGETS		199	20	0.100502512562814	TRUE	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	exploratory	HALLMARK_ESTROGEN_RESPONSE_EARLY	hallmark	HALLMARK_ESTROGEN_RESPONSE_EARLY		197	33	0.16751269035533	TRUE	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	exploratory	HALLMARK_ESTROGEN_RESPONSE_LATE	hallmark	HALLMARK_ESTROGEN_RESPONSE_LATE		194	35	0.180412371134021	TRUE	FALSE	FALSE
HALLMARK_FATTY_ACID_METABOLISM	exploratory	HALLMARK_FATTY_ACID_METABOLISM	hallmark	HALLMARK_FATTY_ACID_METABOLISM		155	11	0.0709677419354839	TRUE	FALSE	FALSE
HALLMARK_G2M_CHECKPOINT	exploratory	HALLMARK_G2M_CHECKPOINT	hallmark	HALLMARK_G2M_CHECKPOINT		195	22	0.112820512820513	TRUE	FALSE	FALSE
HALLMARK_GLYCOLYSIS	exploratory	HALLMARK_GLYCOLYSIS	hallmark	HALLMARK_GLYCOLYSIS		200	18	0.09	TRUE	FALSE	FALSE
HALLMARK_HEDGEHOG_SIGNALING	exploratory	HALLMARK_HEDGEHOG_SIGNALING	hallmark	HALLMARK_HEDGEHOG_SIGNALING		36	5	0.138888888888889	TRUE	FALSE	FALSE
HALLMARK_HEME_METABOLISM	exploratory	HALLMARK_HEME_METABOLISM	hallmark	HALLMARK_HEME_METABOLISM		189	7	0.037037037037037	TRUE	FALSE	FALSE
HALLMARK_IL2_STAT5_SIGNALING	exploratory	HALLMARK_IL2_STAT5_SIGNALING	hallmark	HALLMARK_IL2_STAT5_SIGNALING		199	58	0.291457286432161	TRUE	FALSE	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	exploratory	HALLMARK_IL6_JAK_STAT3_SIGNALING	hallmark	HALLMARK_IL6_JAK_STAT3_SIGNALING		85	54	0.635294117647059	TRUE	FALSE	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	exploratory	HALLMARK_INFLAMMATORY_RESPONSE	hallmark	HALLMARK_INFLAMMATORY_RESPONSE		197	84	0.426395939086294	TRUE	FALSE	FALSE
HALLMARK_KRAS_SIGNALING_DN	exploratory	HALLMARK_KRAS_SIGNALING_DN	hallmark	HALLMARK_KRAS_SIGNALING_DN		194	19	0.0979381443298969	TRUE	FALSE	FALSE
HALLMARK_KRAS_SIGNALING_UP	exploratory	HALLMARK_KRAS_SIGNALING_UP	hallmark	HALLMARK_KRAS_SIGNALING_UP		198	49	0.247474747474748	TRUE	FALSE	FALSE
