gene	ucc_standard	mutter_01	mutter_02	class	custom
A2ml1	FALSE	FALSE	TRUE	dataset_specific	TRUE
Aatk	TRUE	TRUE	TRUE	common	FALSE
Abl1	TRUE	TRUE	TRUE	common	FALSE
Abl2	TRUE	TRUE	TRUE	common	FALSE
Acacb	TRUE	TRUE	TRUE	common	FALSE
Ace	TRUE	TRUE	TRUE	common	FALSE
Ackr1	TRUE	TRUE	TRUE	common	FALSE
Ackr3	TRUE	TRUE	TRUE	common	FALSE
Ackr4	TRUE	TRUE	TRUE	common	FALSE
Acp5	TRUE	TRUE	FALSE	dataset_specific	FALSE
Acta2	TRUE	TRUE	TRUE	common	FALSE
Actg2	TRUE	TRUE	TRUE	common	FALSE
Acvr1	TRUE	TRUE	TRUE	common	FALSE
Acvr1b	TRUE	TRUE	TRUE	common	FALSE
Acvr2a	TRUE	TRUE	TRUE	common	FALSE
Acvrl1	TRUE	TRUE	TRUE	common	FALSE
Adcy8	FALSE	FALSE	TRUE	dataset_specific	TRUE
Adgra2	TRUE	TRUE	TRUE	common	FALSE
Adgra3	TRUE	TRUE	TRUE	common	FALSE
Adgre5	TRUE	TRUE	TRUE	common	FALSE
Adgrf1	TRUE	TRUE	TRUE	common	FALSE
Adgrf3	TRUE	TRUE	TRUE	common	FALSE
Adgrf5	TRUE	TRUE	TRUE	common	FALSE
Adgrg1	TRUE	TRUE	TRUE	common	FALSE
Adgrg3	TRUE	TRUE	TRUE	common	FALSE
Adgrg5	TRUE	TRUE	TRUE	common	FALSE
Adgrg6	TRUE	TRUE	TRUE	common	FALSE
Adgrl1	TRUE	TRUE	TRUE	common	FALSE
Adgrl2	TRUE	TRUE	TRUE	common	FALSE
Adgrl4	TRUE	TRUE	TRUE	common	FALSE
Adgrv1	TRUE	TRUE	TRUE	common	FALSE
Adipoq	TRUE	TRUE	TRUE	common	FALSE
Adm2	TRUE	TRUE	TRUE	common	FALSE
Agr2	TRUE	TRUE	TRUE	common	FALSE
Ahi1	TRUE	TRUE	TRUE	common	FALSE
Ahr	TRUE	TRUE	TRUE	common	FALSE
Aif1	TRUE	TRUE	TRUE	common	FALSE
Akap5	FALSE	FALSE	TRUE	dataset_specific	TRUE
Akt1	TRUE	TRUE	TRUE	common	FALSE
Alcam	TRUE	TRUE	TRUE	common	FALSE
Alox5ap	TRUE	TRUE	FALSE	dataset_specific	FALSE
Angpt1	TRUE	TRUE	TRUE	common	FALSE
Angpt2	TRUE	TRUE	TRUE	common	FALSE
Angptl1	TRUE	TRUE	TRUE	common	FALSE
Ankrd1	TRUE	TRUE	TRUE	common	FALSE
Ankrd42	TRUE	TRUE	TRUE	common	FALSE
Anxa1	TRUE	TRUE	TRUE	common	FALSE
Anxa2	TRUE	TRUE	TRUE	common	FALSE
Anxa4	TRUE	TRUE	TRUE	common	FALSE
Apc	TRUE	TRUE	TRUE	common	FALSE
Apoa1	TRUE	TRUE	TRUE	common	FALSE
Apoc1	TRUE	TRUE	TRUE	common	FALSE
Apod	TRUE	TRUE	TRUE	common	FALSE
Apoe	TRUE	TRUE	TRUE	common	FALSE
App	TRUE	TRUE	TRUE	common	FALSE
Aqp3	TRUE	TRUE	TRUE	common	FALSE
Ar	TRUE	TRUE	TRUE	common	FALSE
Areg	TRUE	TRUE	TRUE	common	FALSE
Arf1	TRUE	TRUE	TRUE	common	FALSE
Arg1	TRUE	TRUE	TRUE	common	FALSE
Arhgdib	TRUE	TRUE	TRUE	common	FALSE
Arid5b	TRUE	TRUE	TRUE	common	FALSE
Atf3	TRUE	TRUE	TRUE	common	FALSE
Atg12	TRUE	TRUE	TRUE	common	FALSE
Atg5	TRUE	TRUE	TRUE	common	FALSE
Atm	TRUE	TRUE	TRUE	common	FALSE
Atp5b	TRUE	TRUE	FALSE	dataset_specific	FALSE
Atp5e	TRUE	TRUE	TRUE	common	FALSE
Atr	TRUE	TRUE	TRUE	common	FALSE
Axl	TRUE	TRUE	TRUE	common	FALSE
Azgp1	TRUE	TRUE	TRUE	common	FALSE
B2m	TRUE	TRUE	TRUE	common	FALSE
B3gnt7	TRUE	TRUE	FALSE	dataset_specific	FALSE
Bag3	TRUE	TRUE	TRUE	common	FALSE
Basp1	TRUE	TRUE	FALSE	dataset_specific	FALSE
Bax	TRUE	TRUE	TRUE	common	FALSE
Bbln	TRUE	TRUE	TRUE	common	FALSE
Bcl2	TRUE	TRUE	TRUE	common	FALSE
Bcl2l1	TRUE	TRUE	TRUE	common	FALSE
Bcl6	FALSE	FALSE	TRUE	dataset_specific	TRUE
Becn1	TRUE	TRUE	TRUE	common	FALSE
Best1	TRUE	TRUE	TRUE	common	FALSE
Bgn	TRUE	TRUE	TRUE	common	FALSE
Bid	TRUE	TRUE	TRUE	common	FALSE
Birc3	TRUE	TRUE	FALSE	dataset_specific	FALSE
Birc5	TRUE	TRUE	TRUE	common	FALSE
Blk	TRUE	TRUE	TRUE	common	FALSE
Bmp1	TRUE	TRUE	TRUE	common	FALSE
Bmp2	TRUE	TRUE	TRUE	common	FALSE
Bmp3	TRUE	TRUE	TRUE	common	FALSE
Bmp4	TRUE	TRUE	TRUE	common	FALSE
Bmp5	TRUE	TRUE	TRUE	common	FALSE
Bmp7	TRUE	TRUE	TRUE	common	FALSE
Bmpr1a	TRUE	TRUE	TRUE	common	FALSE
Bmpr2	TRUE	TRUE	TRUE	common	FALSE
