sample_id	dataset_id	name	format	treatment	condition	timepoint_h	model	mouse_id	slide_id	block_label	dose_gy	tumor_cell_line	tumor_type	extract_key	strain	sex	notes	physical_barcode	input_path	platform	panel_n	provider	counts_path	metadata_path	raw_input_path
sam0001	dat0001	Mutter_01	parquet	NT	Control	0	flank	mou0001	sld0002	Block_3	NA	4T1	mammary carcinoma, TNBC/claudin-low	Control	Balb/c	NA	NA	20250529_214712_S2	NA	CosMx	1000	Yi Liu / Mutter Lab	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet
sam0002	dat0001	Mutter_01	parquet	MBRT	MBRT_1h	1	flank	mou0002	sld0004	Block_12	NA	4T1	mammary carcinoma, TNBC/claudin-low	MBRT_1h	Balb/c	NA	NA	20250529_214712_S4	NA	CosMx	1000	Yi Liu / Mutter Lab	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet
sam0003	dat0001	Mutter_01	parquet	MBRT	MBRT_4h	4	flank	mou0003	sld0004	Block_21	NA	4T1	mammary carcinoma, TNBC/claudin-low	MBRT_4h	Balb/c	NA	NA	20250529_214712_S4	NA	CosMx	1000	Yi Liu / Mutter Lab	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet
sam0004	dat0001	Mutter_01	parquet	MBRT	MBRT_day2	48	flank	mou0004	sld0001	Block_36	NA	4T1	mammary carcinoma, TNBC/claudin-low	MBRT_day2	Balb/c	NA	NA	20250529_214712_S1	NA	CosMx	1000	Yi Liu / Mutter Lab	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet
sam0005	dat0001	Mutter_01	parquet	MBRT	MBRT_day6	144	flank	mou0005	sld0001	Block_54	NA	4T1	mammary carcinoma, TNBC/claudin-low	MBRT_day6	Balb/c	NA	NA	20250529_214712_S1	NA	CosMx	1000	Yi Liu / Mutter Lab	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet
sam0006	dat0001	Mutter_01	parquet	SBRT	SBRT_4h	4	flank	mou0006	sld0004	Block_17	NA	4T1	mammary carcinoma, TNBC/claudin-low	SBRT_4h	Balb/c	NA	NA	20250529_214712_S4	NA	CosMx	1000	Yi Liu / Mutter Lab	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet
sam0007	dat0001	Mutter_01	parquet	SBRT	SBRT_day2	48	flank	mou0007	sld0002	Block_29	NA	4T1	mammary carcinoma, TNBC/claudin-low	SBRT_day2	Balb/c	NA	NA	20250529_214712_S2	NA	CosMx	1000	Yi Liu / Mutter Lab	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet
sam0008	dat0001	Mutter_01	parquet	SBRT	SBRT_day6	144	flank	mou0008	sld0002	Block_48	NA	4T1	mammary carcinoma, TNBC/claudin-low	SBRT_day6	Balb/c	NA	NA	20250529_214712_S2	NA	CosMx	1000	Yi Liu / Mutter Lab	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet
sam0009	dat0001	Mutter_01	parquet	MBRT	Tongue_MBRT_day10	240	tongue	mou0009	sld0003	TNG-1271	NA	unknown	oral/tongue carcinoma	Tongue_MBRT_day10	unknown	NA	NA	20250529_214712_S3	NA	CosMx	1000	Yi Liu / Mutter Lab	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet
sam0010	dat0001	Mutter_01	parquet	MBRT	Tongue_MBRT_day8	192	tongue	mou0010	sld0003	TNG-6082	NA	unknown	oral/tongue carcinoma	Tongue_MBRT_day8	unknown	NA	NA	20250529_214712_S3	NA	CosMx	1000	Yi Liu / Mutter Lab	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/projects_Mutter_01_CosMmR_app_data_raw_tx_counts_matrix.parquet
