cell_type	n	sample_id	dataset
a	27889	sam0007	Mutter_01
B.cell	780	sam0007	Mutter_01
Blood.endothelial	940	sam0007	Mutter_01
BM.Neutrophil	540	sam0007	Mutter_01
CD8.T.cell	813	sam0007	Mutter_01
Colon.Treg.Nrplo	266	sam0007	Mutter_01
Dendritic	1241	sam0007	Mutter_01
DN2a	26	sam0007	Mutter_01
DN2b	52	sam0007	Mutter_01
DN3	34	sam0007	Mutter_01
DN4	61	sam0007	Mutter_01
Fibroblastic.reticular	358	sam0007	Mutter_01
GC_centroblasts	15	sam0007	Mutter_01
GC_centrocyes	6	sam0007	Mutter_01
gdT	5247	sam0007	Mutter_01
ILC	2535	sam0007	Mutter_01
ISP	3	sam0007	Mutter_01
Ly6Chi.blood.monocytes	895	sam0007	Mutter_01
Ly6Clo.blood.monocytes	5444	sam0007	Mutter_01
Lymphatic.endothelial	2192	sam0007	Mutter_01
Macrophage	7019	sam0007	Mutter_01
Memory.B	489	sam0007	Mutter_01
Microglia	602	sam0007	Mutter_01
NK	76	sam0007	Mutter_01
NKT	1407	sam0007	Mutter_01
PerC.macrophage	595	sam0007	Mutter_01
Pericyte	5500	sam0007	Mutter_01
Plasma	19	sam0007	Mutter_01
Plasmablast	7	sam0007	Mutter_01
small.peritoneal.macs	484	sam0007	Mutter_01
Spleen.CD19	2	sam0007	Mutter_01
Spleen.CD4Act.48hrs	152	sam0007	Mutter_01
Spleen.LN.Naive.CD4	33	sam0007	Mutter_01
Spleen.Naive.CD4	2	sam0007	Mutter_01
Spleen.Naive.CD8	12	sam0007	Mutter_01
spleen.red.pulp.macs	1125	sam0007	Mutter_01
Spleen.Treg	103	sam0007	Mutter_01
Stem.Prog	9479	sam0007	Mutter_01
Thio.induced.Peritoneal.Neutrophil	425	sam0007	Mutter_01
Thymic.4.8.CD3lo.DP	2069	sam0007	Mutter_01
Thymic.CD4SP	332	sam0007	Mutter_01
Thymic.CD8SP	202	sam0007	Mutter_01
Thymic.preT.DN1	2685	sam0007	Mutter_01
tumor_epithelial	4585	sam0007	Mutter_01
