"","a","b","B.cell","Blood.endothelial","BM.Neutrophil","CD8.T.cell","Colon.Treg.Nrplo","Dendritic","DN2a","DN2b","DN3","DN4","Fibroblastic.reticular","GC_centroblasts","GC_centrocyes","gdT","ILC","ISP","Ly6Chi.blood.monocytes","Ly6Clo.blood.monocytes","Lymphatic.endothelial","Macrophage","Memory.B","Microglia","NK","NKT","PerC.macrophage","Pericyte","Plasma","Plasmablast","small.peritoneal.macs","Spleen.CD4Act.48hrs","Spleen.LN.Naive.CD4","Spleen.Naive.CD4","Spleen.Naive.CD8","spleen.red.pulp.macs","Spleen.Treg","Stem.Prog","Thio.induced.Peritoneal.Neutrophil","Thymic.4.8.CD3lo.DP","Thymic.CD4SP","Thymic.CD8SP","Thymic.preT.DN1","tumor_epithelial"
"Aatk",0.129176961268,0.0313381045326393,0.0364691872581125,0.0659198892419999,0.0540009818360334,0.039711030346273,0.0350827153451226,0.0530314465408805,0.0171990171990172,0.005,0.0413385826771654,0.0222437137330754,0.0655737704918033,0.0176848874598071,0.0206185567010309,0.0426521653672279,0.0597332432888739,0.00537634408602151,0.0559054248149376,0.0673300744878957,0.0712698071269807,0.119951753109013,0.0546170247662785,0.055952380952381,0.0384615384615385,0.0539792832786463,0.0538992408557626,0.0521631982475356,0.0361278369615563,0.0342205323193916,0.0488906342038092,0.0298429319371728,0.0254957507082153,0.0301970756516211,0.0625,0.074804694467235,0.0256089943785134,0.105287083976196,0.0463276836158192,0.0616580462289238,0.0584917484854815,0.046839587005792,0.083819089468807,0.16590857166594
"Abl1",0.139408645121986,0.0341032314031663,0.0466656743078297,0.0606022466253422,0.053019145802651,0.0413275658320141,0.0396463205932687,0.0626918238993711,0.0515970515970516,0.0275,0.0236220472440945,0.0106382978723404,0.0624095949855352,0.0321543408360129,0.0322164948453608,0.0605713162549957,0.0539929089988182,0.0268817204301075,0.0535852392000884,0.0711417597765363,0.0895533089553309,0.0496194318512665,0.0193537805478104,0.0441798941798942,0.0384615384615385,0.072894550601557,0.0568668046928916,0.0496010014082303,0.0488652153774896,0.0424588086185044,0.0357353229923424,0.0366492146596859,0.0509915014164306,0.0373490146217419,0.0546875,0.0646737773338565,0.0268582136164897,0.0852160017632797,0.0401129943502825,0.0641419011717951,0.0472111969918529,0.0561571392596323,0.0891698801303321,0.184798637505971
"Abl2",0.0792083332248549,0.032639340707005,0.0247097350401905,0.0347692017243007,0.0315414825724104,0.0243372204508462,0.0510553337136338,0.0352704402515723,0.0245700245700246,0.025,0.0118110236220472,0.0212765957446809,0.0260667791706847,0.0514469453376206,0.0257731958762887,0.0401624844394942,0.0353537058922843,0.021505376344086,0.033587448900674,0.0503811685288641,0.0596544059654406,0.0415921474025704,0.0173855994751517,0.0247354497354497,0.0145530145530146,0.0398571704304188,0.0364389233954451,0.0334845877014552,0.0428439092172302,0.0316856780735108,0.0302375809935205,0.031413612565445,0.0141643059490085,0.0348061029879212,0.0078125,0.042164591731174,0.0337289194253592,0.0499917346264051,0.0252354048964218,0.0341603109201952,0.0321704616670148,0.0284563082347016,0.0603832242250321,0.110017238872619
"Acacb",0.072418452438291,0.0203860333983951,0.0196487049717178,0.036499795475284,0.0250368188512518,0.105732569288055,0.0228180262407302,0.0236981132075472,0.00245700245700246,0.03,0.0187007874015748,0.00483558994197292,0.0343539054966249,0.0128617363344051,0.0128865979381443,0.02804166939658,0.0233327705554618,0.010752688172043,0.0250801016462269,0.0341596834264432,0.0356349035634904,0.0252880256207628,0.0283746104641627,0.016005291005291,0.0114345114345114,0.0327156919513607,0.0220151828847481,0.0211038961038961,0.0252431681333951,0.0285171102661597,0.0219909679952877,0.0109947643979058,0.0254957507082153,0.0390972663699936,0.0234375,0.0285021224984839,0.0287320424734541,0.042428917787084,0.0163841807909605,0.0503784226060022,0.0175475245456445,0.0161168471417779,0.0402654470451081,0.092871830020562
"Ace",0.0617884358541113,0.0190847972240295,0.0189788627567728,0.0428872596834587,0.0360824742268041,0.0272135387634061,0.0213918996006845,0.0271194968553459,0.00245700245700246,0.005,0.0265748031496063,0.0106382978723404,0.0405617164898746,0.0289389067524116,0.0103092783505155,0.0234881740155933,0.0282289380381563,0.0268817204301075,0.0318196884322174,0.0450418994413408,0.0440238044023804,0.0259534999792039,0.0172215843857635,0.0427248677248677,0.0291060291060291,0.0193012931866435,0.0211870255348516,0.0220818338288218,0.01528485409912,0.017743979721166,0.0265069703514628,0.0141361256544503,0.0311614730878187,0.0831214240305149,0.0234375,0.024292797774052,0.00811992504684572,0.0405829843508927,0.0182674199623352,0.0381637006516466,0.0342594526843535,0.0158650214051876,0.0311481780408334,0.0825492761750472
"Ackr1",0.0396458223227745,0.0182173064411191,0.0236677582613873,0.0444605267298071,0.0457781050564556,0.019978148899641,0.0193953223046207,0.0314465408805031,0.00491400491400491,0.0025,0.0108267716535433,0.0174081237911025,0.0440272420443587,0.022508038585209,0.0115979381443299,0.0213916006027649,0.0281951713658619,0.021505376344086,0.018450999889515,0.0380877560521415,0.0304008030400803,0.0254959863577757,0.0380515007380679,0.025,0.0155925155925156,0.029852666795342,0.024223602484472,0.0213581599123768,0.0206113941639648,0.0133079847908745,0.0196347928529354,0.0225130890052356,0.0169971671388102,0.0216147488874762,0,0.0349587985588414,0.061211742660837,0.0280471677319815,0.0235404896421846,0.0357967330002046,0.0463756005849175,0.0168723243515487,0.0318656024870714,0.0510831412133674
"Ackr3",0.115487853455211,0.0245608327911516,0.0281333730276868,0.0494005852553412,0.0310505645557192,0.0249169435215947,0.0596120935539076,0.0264654088050314,0.0393120393120393,0.0375,0.0285433070866142,0.0145067698259188,0.0768141272902604,0.00964630225080386,0.0206185567010309,0.0412435301054839,0.0469356744892791,0.021505376344086,0.0275107722903547,0.0398626629422719,0.0689037068903707,0.0512831177473693,0.0183696900114811,0.014021164021164,0.0155925155925156,0.0202341890239979,0.0338854382332643,0.0343060553903927,0.0402964335340435,0.0304182509505703,0.0217946200667583,0.0172774869109948,0.0028328611898017,0.0160521296884933,0.0078125,0.0292512396104591,0.018738288569644,0.0710959885386819,0.0340866290018832,0.0360012857602057,0.0321704616670148,0.021657013346764,0.0461841987265716,0.141389910067086
"Ackr4",0.0907912241832226,0.024886141834743,0.0304406073236082,0.0451527642302004,0.0540009818360334,0.0305023523378448,0.0484883057615516,0.043874213836478,0.0368550368550369,0.015,0.0344488188976378,0.0145067698259188,0.047854387656702,0.0321543408360129,0.0167525773195876,0.0441918364672738,0.0483876413979402,0.043010752688172,0.0334769638713954,0.0581354748603352,0.0569298056929806,0.0336480472486795,0.0308348368049861,0.0601851851851852,0.0197505197505198,0.047481181239143,0.0398205659075224,0.0384916288530746,0.0453913849004169,0.032319391634981,0.0284704496367563,0.0356020942408377,0.0028328611898017,0.0228862047043865,0.0703125,0.0547568936610423,0.0262336039975016,0.0620454044522812,0.0278719397363465,0.0477776803717016,0.0632964278253604,0.0412994208008058,0.0608615071891908,0.115105821754211
"Acta2",0.117815366270851,0.0557362828019952,0.0471122357844597,0.408514521254838,0.068605792832597,0.0507369172110861,0.0356531660011409,0.0473459119496855,0.0245700245700246,0.085,0.0541338582677165,0.15183752417795,0.0949855351976856,0.0273311897106109,0.0373711340206186,0.0565255847474284,0.0724970454161742,0.0161290322580645,0.0791072809634294,0.0770047718808194,0.0763605076360508,0.0460009150272429,0.0377234705592915,0.0911375661375661,0.0654885654885655,0.0685839284565399,0.0654934437543133,0.30736582694414,0.0585919407132932,0.0506970849176172,0.0534066365599843,0.0303664921465969,0.0396600566572238,0.67085187539733,0.078125,0.0637462990047444,0.0206121174266084,0.0708480273308354,0.0638418079096045,0.0682621781946758,0.0350950490912889,0.0523797532107781,0.0725196544405584,0.162408872826967
"Actg2",0.0753213347530988,0.0206571242680547,0.0226257814825841,0.0467574966174759,0.047373588610702,0.0230885861446186,0.0256702795208214,0.0392452830188679,0.00982800982800983,0.0175,0.00984251968503937,0.011605415860735,0.0288391996142719,0.0305466237942122,0.0257731958762887,0.0347244971499705,0.0464967077494513,0.010752688172043,0.0246381615291128,0.0499883612662942,0.0459597045959705,0.0277003701701119,0.0352632442184681,0.0342592592592593,0.0114345114345114,0.044650324905102,0.0374051069703244,0.0406039743389141,0.0407596109309866,0.0380228136882129,0.0286667975652857,0.0240837696335079,0.0169971671388102,0.0297202797202797,0.015625,0.046837655620162,0.042473454091193,0.0528846153846154,0.0259887005649717,0.0625639227375004,0.0363484437016921,0.0420548980105767,0.0617881804322482,0.0977942550937753
