dataset	sample_id	B.cell	BM.Neutrophil	Blood.endothelial	CD8.T.cell	Colon.Treg.Nrplo	DN2a	DN2b	DN3	DN4	Dendritic	Fibroblastic.reticular	GC_centroblasts	GC_centrocyes	ILC	ISP	Ly6Chi.blood.monocytes	Ly6Clo.blood.monocytes	Lymphatic.endothelial	Macrophage	Memory.B	Microglia	NK	NKT	PerC.macrophage	Pericyte	Plasma	Plasmablast	Spleen.CD19	Spleen.CD4Act.48hrs	Spleen.LN.Naive.CD4	Spleen.Naive.CD4	Spleen.Naive.CD8	Spleen.Treg	Stem.Prog	Thio.induced.Peritoneal.Neutrophil	Thymic.4.8.CD3lo.DP	Thymic.CD4SP	Thymic.CD8SP	Thymic.preT.DN1	a	gdT	small.peritoneal.macs	spleen.red.pulp.macs	tumor_epithelial	b
Mutter_01	sam0001	912	394	2917	1958	351	15	75	11	238	1657	2028	16	3	1004	10	2170	5424	5649	1262	304	531	70	1241	752	11438	13	4	1	85	11	2	1	73	8884	191	1448	248	142	2507	36629	13715	435	2462	20118	0
Mutter_01	sam0002	547	131	1446	4279	85	18	51	31	243	274	1195	1	2	366	9	454	1391	680	1170	106	205	39	265	128	3685	8	1	2	54	7	3	3	19	2479	94	1262	118	50	1032	14125	2566	41	661	3876	2
Mutter_01	sam0003	1775	618	3239	1212	853	56	73	57	189	1100	743	29	4	4236	25	1385	9018	1307	1960	447	811	90	2093	2602	6961	30	6	1	251	36	3	10	177	12525	1002	2520	608	288	5077	74866	10689	192	3761	15095	66
Mutter_01	sam0004	1053	2160	3524	1021	717	58	32	44	47	2382	2514	23	9	7468	8	2499	9210	1699	6222	507	922	144	1543	7649	7512	284	108	1	157	32	4	8	122	8453	1967	2518	391	210	2545	32997	8041	1216	7363	5841	43
Mutter_01	sam0005	3642	2433	3198	1639	176	72	13	77	17	3697	1099	396	714	4255	38	207	13684	68	527	2076	1685	182	7489	880	3496	3859	1398	27	394	108	16	41	554	8114	582	7142	1286	966	6582	19391	5245	437	3203	794	98
Mutter_01	sam0006	1802	585	2660	992	691	69	59	66	117	560	649	22	6	2515	24	637	6126	2039	878	493	778	95	1601	681	3738	26	8	1	195	44	4	11	187	14081	550	3509	734	343	6271	86781	7671	51	1401	16412	0
Mutter_01	sam0007	780	540	940	813	266	26	52	34	61	1241	358	15	6	2535	3	895	5444	2192	7019	489	602	76	1407	595	5500	19	7	2	152	33	2	12	103	9479	425	2069	332	202	2685	27889	5247	484	1125	4585	0
Mutter_01	sam0008	1234	636	2786	6571	313	38	38	45	33	6598	1004	101	29	1998	16	714	16869	291	1386	956	1357	176	15059	1044	8072	54	31	7	581	55	4	30	258	5233	283	3490	751	1708	6077	16415	6394	825	6069	1634	0
Mutter_01	sam0009	502	121	3347	26776	9	19	1	281	37	576	8605	7	0	1735	20	32	364	5	1262	171	169	21	102	60	254	3	4	1	14	6	2166	2	28	1198	35	2491	77	18	191	1766	414	470	557	65	8135
Mutter_01	sam0010	655	221	3436	21780	22	17	6	204	31	869	6940	6	2	1382	21	21	643	6	837	290	278	33	135	26	205	12	5	1	9	12	669	6	34	1021	58	4251	128	27	260	2511	577	333	550	49	4319
Mutter_01	sam0011	534	309	4288	22657	23	19	0	166	21	921	8049	6	1	2121	12	37	563	11	1520	258	222	36	151	73	267	10	6	1	18	9	3419	4	46	1125	123	3521	114	17	226	2308	493	609	881	96	5639
Mutter_02	sam0012	715	2283	5748	20054	120	13	12	22	20	4242	4937	41	98	3321	1	555	14785	1396	3116	300	307	29	5418	4246	9812	540	87	0	35	9	1040	0	74	6987	214	3872	133	143	1963	168959	12061	478	7631	6467	5804
Mutter_02	sam0013	570	3250	4691	14300	96	15	15	18	22	4207	5686	27	59	2620	1	618	13645	1229	2682	257	298	33	4412	5179	8937	401	85	0	42	12	627	3	45	5729	233	4265	106	139	2109	108109	9922	545	7669	4882	4435
Mutter_02	sam0014	651	718	9871	14056	125	20	12	37	33	6878	9546	37	73	3814	2	679	17206	1924	3575	324	326	35	6368	4961	15095	340	82	0	60	10	1616	1	80	8812	311	4353	140	161	2171	203993	14772	751	9302	7407	7381
Mutter_02	sam0015	1623	987	5504	14055	113	11	7	19	17	2993	4546	77	255	2718	4	425	14662	1042	2392	241	236	26	8052	2621	6006	825	144	0	37	21	529	1	55	6061	221	3020	132	142	2204	111945	9339	315	5981	5449	4341
Mutter_02	sam0016	513	2632	3620	9352	72	7	6	20	18	2764	3636	24	34	1692	0	459	9504	806	1793	169	197	21	3127	3021	6715	193	71	0	48	4	411	2	33	4564	222	2684	125	80	1852	80228	7716	495	4731	4217	2021
Mutter_02	sam0017	260	163	2651	4958	67	7	9	13	15	1978	2599	12	22	1009	2	213	4813	670	1248	100	126	25	2023	1637	4042	114	37	0	27	4	237	1	27	2818	134	1283	68	70	961	58550	4804	203	2621	2636	2129
Mutter_02	sam0018	262	143	1979	3953	50	6	1	9	19	1408	1341	18	26	701	0	185	3493	436	960	111	116	11	1400	1001	3801	224	58	0	30	10	349	0	35	2309	82	1092	78	76	859	51042	3658	159	1967	1996	1764
Mutter_02	sam0019	312	200	2873	6707	70	9	4	10	25	1999	2442	21	39	906	1	298	4730	808	1560	129	157	24	1745	1021	4530	240	64	0	27	7	266	0	29	2976	125	1554	86	61	1026	61844	5914	200	2190	2235	2197
Mutter_02	sam0020	267	260	2983	3577	61	10	6	16	10	2174	2598	11	21	1054	1	225	5332	598	1084	122	137	17	1868	1672	4356	164	63	0	20	6	262	1	22	2434	107	1058	60	87	852	52712	4129	221	2730	2226	1928
Mutter_02	sam0021	295	142	1975	10729	49	9	4	9	16	1432	1489	22	31	926	1	224	3723	540	1318	104	140	21	1651	848	3284	228	71	0	19	7	298	5	33	2471	91	1046	81	76	1022	55686	4462	222	1613	2164	1771
Mutter_02	sam0022	458	251	5567	7992	94	12	10	19	26	2865	3208	24	38	2086	5	346	9801	1120	2005	221	246	28	3420	1857	7720	309	82	0	38	16	533	0	46	4560	203	2533	144	129	1729	109233	7926	379	4213	4262	4290
Mutter_02	sam0023	666	451	10244	14197	113	14	16	31	46	6972	8938	49	69	3540	3	965	17048	1679	3365	248	286	38	5800	5628	18053	539	105	0	56	15	1119	1	61	8244	349	4598	149	165	2247	217650	14027	601	9494	9117	8059
