sample_id	dataset	n_cells	mecr
sam0001	Mutter_01	127399	0.046
sam0002	Mutter_01	43204	0.05
sam0003	Mutter_01	168086	0.039
sam0004	Mutter_01	131268	0.034
sam0005	Mutter_01	111997	0.031
sam0006	Mutter_01	166163	0.043
sam0007	Mutter_01	86741	0.032
sam0008	Mutter_01	117263	0.034
sam0009	Mutter_01	62117	0.019
sam0010	Mutter_01	52898	0.018
sam0011	Mutter_01	60930	0.022
sam0012	Mutter_02	298088	0.025
sam0013	Mutter_02	222225	0.025
sam0014	Mutter_02	358109	0.024
sam0015	Mutter_02	219394	0.019
sam0016	Mutter_02	159899	0.021
sam0017	Mutter_02	105386	0.016
sam0018	Mutter_02	87218	0.032
sam0019	Mutter_02	111661	0.036
sam0020	Mutter_02	97542	0.026
sam0021	Mutter_02	100348	0.027
sam0022	Mutter_02	190044	0.027
sam0023	Mutter_02	375055	0.027
