sample_id	dataset	n_cells	counts	complexity	propNegative	area
sam0001	Mutter_01	141598	13267	5287	0	1665
sam0002	Mutter_01	53517	10017	4561	0	557
sam0003	Mutter_01	203576	35123	14911	0	1448
sam0004	Mutter_01	162465	30810	12438	0	961
sam0005	Mutter_01	161664	49104	21029	0	836
sam0006	Mutter_01	193510	26793	11209	0	1831
sam0007	Mutter_01	107285	20442	8560	0	481
sam0008	Mutter_01	155223	37621	16562	0	895
sam0009	Mutter_01	79768	17148	7751	0	660
sam0010	Mutter_01	87350	33896	15979	0	698
sam0011	Mutter_01	86072	24508	11190	0	771
sam0012	Mutter_02	338018	37990	22709	0	3440
sam0013	Mutter_02	258747	35390	18343	0	2112
sam0014	Mutter_02	402060	39747	24381	0	5870
sam0015	Mutter_02	262533	41970	28515	0	1961
sam0016	Mutter_02	252891	92169	66001	0	1776
sam0017	Mutter_02	133738	27010	19353	0	1908
sam0018	Mutter_02	103160	14733	9826	1	1799
sam0019	Mutter_02	132049	19189	11884	1	1716
sam0020	Mutter_02	116801	18212	11676	0	1549
sam0021	Mutter_02	131891	29807	20141	0	2140
sam0022	Mutter_02	240919	49072	31525	0	3008
sam0023	Mutter_02	420029	40363	25471	0	6146
