gene	m01_mean	m01_bg	m01_s2b	m02_mean	m02_bg	m02_s2b	flagged_failed
Serpina3a	0.01214817137317253	0.014388824799515093	0.8442782188564786	0.003229173331199443	0.010600635391945104	0.30462073373952014	TRUE
Nlrc4	0.010400494967681848	0.014388824799515093	0.7228175415710355	0.0034499318881353385	0.010600635391945104	0.3254457643884979	TRUE
Ptgdr2	0.014270218776326936	0.014388824799515093	0.9917570736428625	0.003663458265127739	0.010600635391945104	0.345588554806009	TRUE
Cd4	0.010669499699407956	0.014388824799515093	0.7415129343827663	0.004489638463185508	0.010600635391945104	0.4235254111840278	TRUE
Cntfr	0.007464536771360724	0.014388824799515093	0.5187732059683068	0.004788266311569443	0.010600635391945104	0.4516961610817979	TRUE
Fgf12	0.013388906986682408	0.014388824799515093	0.9305073328249586	0.005418875437045609	0.010600635391945104	0.5111840221542893	TRUE
Fgf9	0.008722871621406402	0.014388824799515093	0.6062254383485415	0.007463623281575064	0.010600635391945104	0.704073199918403	TRUE
Bst1	0.013499902030808492	0.014388824799515093	0.938221308474299	0.008886364395576994	0.010600635391945104	0.8382860146599609	TRUE
Itm2a	0.010402023313995196	0.014388824799515093	0.7229237591624402	0.00926310030920047	0.010600635391945104	0.8738250082857335	TRUE
Il2ra	0.012952659211046947	0.014388824799515093	0.9001888195541484	0.010002398445493409	0.010600635391945104	0.9435659350281714	TRUE
Tcf7	0.010948448018113894	0.014388824799515093	0.7608993903715374	0.010374201548693868	0.010600635391945104	0.9786395970732762	TRUE
Rspo3	0.007403340349783468	0.014388824799515093	0.5145201538650302	0.010481256602820153	0.010600635391945104	0.9887385251250448	TRUE
Ptgis	0.03397500022126168	0.014388824799515093	2.3612074435993304	0.0035783187649385297	0.010600635391945104	0.3375570079183665	FALSE
Jchain	0.026509821721884607	0.014388824799515093	1.8423896385740963	0.004074087699893694	0.010600635391945104	0.3843248587711441	FALSE
Ighd	0.021404741024114403	0.014388824799515093	1.4875948051598868	0.004217659243609444	0.010600635391945104	0.397868532183857	FALSE
Fgg	0.016520929652804127	0.014388824799515093	1.1481778312681163	0.004718449413286512	0.010600635391945104	0.4451100560322853	FALSE
H2-Ob	0.02797410824134249	0.014388824799515093	1.9441551781411102	0.004730284644182692	0.010600635391945104	0.44622652032509297	FALSE
Fgf1	0.030030818006037015	0.014388824799515093	2.087093172963581	0.004759209947423775	0.010600635391945104	0.4489551589558549	FALSE
Epha4	0.020803395897836387	0.014388824799515093	1.4458022936339783	0.004767522644927486	0.010600635391945104	0.4497393286962864	FALSE
Hcst	0.02703883786068083	0.014388824799515093	1.8791554027116963	0.004825710441517839	0.010600635391945104	0.4552284144386908	FALSE
Ackr1	0.026608684465398352	0.014388824799515093	1.8492604389967324	0.004861874201835323	0.010600635391945104	0.4586398854477742	FALSE
Gpbar1	0.050265732961315666	0.014388824799515093	3.4933869625690095	0.004877230954117411	0.010600635391945104	0.4600885488263634	FALSE
Mmp7	0.027533116511391544	0.014388824799515093	1.9135069677350869	0.004987064214838539	0.010600635391945104	0.4704495561301883	FALSE
Ppara	0.03478441045836815	0.014388824799515093	2.4174601430646647	0.005096280788263477	0.010600635391945104	0.4807523888743393	FALSE
Ccl3	0.0583101630540996	0.014388824799515093	4.05246181439812	0.005114832437062481	0.010600635391945104	0.48250243951876587	FALSE
Mthfd1l	0.018212507941227425	0.014388824799515093	1.2657397803496218	0.00545417766084824	0.010600635391945104	0.514514221005337	FALSE
Upk3a	0.033982714376500175	0.014388824799515093	2.3617435648841454	0.005525104363763868	0.010600635391945104	0.521205018329573	FALSE
Mlh1	0.03464150102497425	0.014388824799515093	2.407528169092842	0.005655639098770575	0.010600635391945104	0.5335188778465123	FALSE
Csf2rb	0.0394733610035419	0.014388824799515093	2.743334605399613	0.005946473038671684	0.010600635391945104	0.5609543974307534	FALSE
Mzb1	0.025792081363214394	0.014388824799515093	1.792507847067788	0.005947359130135892	0.010600635391945104	0.5610379859545961	FALSE
Tpsb2	0.02824454721948412	0.014388824799515093	1.962950248753878	0.005960233370417121	0.010600635391945104	0.5622524641255001	FALSE
Clec5a	0.017029854679364846	0.014388824799515093	1.1835472956720383	0.006315562219998621	0.010600635391945104	0.5957720444566468	FALSE
Xcl1	0.03760449750962963	0.014388824799515093	2.6134516219070867	0.00636180477327605	0.010600635391945104	0.600134287998441	FALSE
Elane	0.055157153352063816	0.014388824799515093	3.833332750977872	0.006694223733004172	0.010600635391945104	0.6314926875129372	FALSE
Adgrg6	0.03776652469162499	0.014388824799515093	2.624712248417795	0.006732077037591438	0.010600635391945104	0.6350635399371257	FALSE
Cdkn3	0.027478778251010357	0.014388824799515093	1.9097305467182004	0.006784386617742298	0.010600635391945104	0.6399981101979431	FALSE
Cd38	0.03878193479683838	0.014388824799515093	2.6952816048010635	0.006862092914634172	0.010600635391945104	0.6473284535234874	FALSE
Cmklr1	0.026042098385829632	0.014388824799515093	1.8098836248744412	0.006867005782487709	0.010600635391945104	0.6477919038424438	FALSE
Col11a1	0.01623156367593627	0.014388824799515093	1.1280673649235953	0.006958884092109837	0.010600635391945104	0.6564591493635888	FALSE
Ms4a1	0.05523314843761291	0.014388824799515093	3.838614286239296	0.006977659813368812	0.010600635391945104	0.6582303376522872	FALSE
Ttr	0.04430528407908063	0.014388824799515093	3.079145426843597	0.006993197522891951	0.010600635391945104	0.6596960714454658	FALSE
Cd40lg	0.01525194720701116	0.014388824799515093	1.0599856082426657	0.007012862916806219	0.010600635391945104	0.6615511860859723	FALSE
Ncr1	0.03116954400142843	0.014388824799515093	2.1662327838253232	0.007074211334918982	0.010600635391945104	0.6673384257979784	FALSE
Btk	0.025817583736333288	0.014388824799515093	1.794280220661478	0.0070795651330540785	0.010600635391945104	0.6678434708200122	FALSE
Ighg1	0.04304061448091175	0.014388824799515093	2.99125293973711	0.007291338038874016	0.010600635391945104	0.6878208493440253	FALSE
Mst1r	0.01673291515521201	0.014388824799515093	1.1629104800675532	0.00748826498513903	0.010600635391945104	0.7063977495942357	FALSE
Mcpt8	0.028844249745543053	0.014388824799515093	2.0046286022271333	0.0075002095154011504	0.010600635391945104	0.7075245245299341	FALSE
Jak1	0.02913578966379606	0.014388824799515093	2.024890153974072	0.007516280067740186	0.010600635391945104	0.7090405235002644	FALSE
Il6st	0.03672083915071288	0.014388824799515093	2.5520387983284345	0.0075665399662070065	0.010600635391945104	0.713781739154659	FALSE
Tnxb	0.03912899950617547	0.014388824799515093	2.719402039525433	0.007568318155994259	0.010600635391945104	0.71394948285317394	FALSE
Dll4	0.030123617676339722	0.014388824799515093	2.0935425996259887	0.007694426400950922	0.010600635391945104	0.7258457739993146	FALSE
Adipoq	0.03347634832929274	0.014388824799515093	2.3265519453972994	0.007925678493513673	0.010600635391945104	0.7476607015024781	FALSE
Mpo	0.028371684779148785	0.014388824799515093	1.9717861030669384	0.007956763190037379	0.010600635391945104	0.7505930442700942	FALSE
Cd163	0.08149469005440646	0.014388824799515093	5.663748859959213	0.008024851140770861	0.010600635391945104	0.7570160508367779	FALSE
Nell2	0.01744599147736347	0.014388824799515093	1.2124681285959784	0.00818212249820541	0.010600635391945104	0.7718520820386482	FALSE
Notch3	0.02197204231620028	0.014388824799515093	1.5270213253927967	0.008207099557178112	0.010600635391945104	0.7742082671208821	FALSE
Rara	0.016729671641528398	0.014388824799515093	1.1626850611241157	0.008351043130122384	0.010600635391945104	0.787787035526939	FALSE
Igfbp5	0.031764994440058696	0.014388824799515093	2.2076156241147076	0.008378057962481759	0.010600635391945104	0.7903354518586526	FALSE
Cdh19	0.015311671325165631	0.014388824799515093	1.0641363376445891	0.008535653091313598	0.010600635391945104	0.8052020257011591	FALSE
Hsd17b2	0.027061938762470046	0.014388824799515093	1.880760877940639	0.00903836972162554	0.010600635391945104	0.8526252802254993	FALSE
Fzd8	0.03047108011846697	0.014388824799515093	2.117690676134569	0.009052690631737362	0.010600635391945104	0.8539762285019304	FALSE
Il33	0.024378673349567247	0.014388824799515093	1.6942782811831036	0.009149711345685457	0.010600635391945104	0.8631285774282802	FALSE
Ddc	0.035439668584100914	0.014388824799515093	2.462999520662399	0.009281316221839787	0.010600635391945104	0.8755433876060107	FALSE
Ikzf3	0.018443178057886003	0.014388824799515093	1.2817709795526555	0.009407953812668441	0.010600635391945104	0.8874896140487086	FALSE
Egf	0.02588526795697227	0.014388824799515093	1.7989841642831463	0.009451392923959162	0.010600635391945104	0.8915873977837976	FALSE
Tlr8	0.030922279626182485	0.014388824799515093	2.149048310548932	0.00961413071803247	0.010600635391945104	0.9069390996447034	FALSE
Il20	0.049095914487790215	0.014388824799515093	3.4120864748763053	0.009662731695974886	0.010600635391945104	0.9115238227434099	FALSE
Acvr1b	0.029066388223936902	0.014388824799515093	2.020066866400128	0.009704755341654114	0.010600635391945104	0.9154880799907782	FALSE
Il17d	0.05355639844570533	0.014388824799515093	3.722082879729705	0.009751070813365171	0.010600635391945104	0.9198572022177581	FALSE
Crp	0.021761310643957418	0.014388824799515093	1.5123758157574327	0.00978433239110368	0.010600635391945104	0.9229948988282635	FALSE
Pigr	0.020369805367261122	0.014388824799515093	1.4156684545875902	0.009909730729554417	0.010600635391945104	0.9348242216767807	FALSE
Camp	0.025501250727543893	0.014388824799515093	1.772295589310622	0.010064242820848054	0.010600635391945104	0.94939996035477	FALSE
Pecam1	0.032538568003697185	0.014388824799515093	2.2613777328634748	0.01007533596950437	0.010600635391945104	0.9504464210852981	FALSE
Cd70	0.030738322974399233	0.014388824799515093	2.1362636214345403	0.010152768721086138	0.010600635391945104	0.9577509597963083	FALSE
Ffar4	0.03782640095580133	0.014388824799515093	2.6288735517216173	0.0103074196626089	0.010600635391945104	0.9723397967673708	FALSE
Ly6d	0.06385721781357077	0.014388824799515093	4.437973128682669	0.010586568048367818	0.010600635391945104	0.9986729716609275	FALSE
Ephb3	0.03087210423354915	0.014388824799515093	2.1455612020927206	0.010634352557512845	0.010600635391945104	1.003180674018216	FALSE
Krt86	0.018882774645073853	0.014388824799515093	1.3123222297981005	0.010753161635840985	0.010600635391945104	1.0143884058130872	FALSE
Mrc2	0.05007991709117049	0.014388824799515093	3.480473060792164	0.010767587194561093	0.010600635391945104	1.0157492260079852	FALSE
Marco	0.030670287680931965	0.014388824799515093	2.1315352788203774	0.01078524472153693	0.010600635391945104	1.0174149305929436	FALSE
Krt6b	0.0639210663483271	0.014388824799515093	4.442410498352948	0.01080625643656824	0.010600635391945104	1.0193970490466429	FALSE
Clec4a1	0.03665196672024042	0.014388824799515093	2.5472522760493685	0.010914759710619469	0.010600635391945104	1.0296325934304893	FALSE
Rac2	0.07483225643465392	0.014388824799515093	5.20072052285853	0.011058340770474996	0.010600635391945104	1.0431771645384276	FALSE
Phlda2	0.08918331362330657	0.014388824799515093	6.198095735123001	0.011062015088053484	0.010600635391945104	1.0435237774953527	FALSE
Ankrd42	0.034391474962608595	0.014388824799515093	2.3901517630381877	0.01108199465759864	0.010600635391945104	1.0454085295697744	FALSE
Gcg	0.014040027400485034	0.014388824799515093	0.9757591461505728	0.011233011087803758	0.010600635391945104	1.059654508666449	FALSE
Agr2	0.03179558639227985	0.014388824799515093	2.2097417152060514	0.011249791685620878	0.010600635391945104	1.0612374890441978	FALSE
Icos	0.03219140906791493	0.014388824799515093	2.237250749553903	0.011272769946073204	0.010600635391945104	1.0634051195307428	FALSE
Fas	0.030954696465595587	0.014388824799515093	2.151301228342065	0.011284380843930068	0.010600635391945104	1.064500421597795	FALSE
Clock	0.03463014972942318	0.014388824799515093	2.406739272451926	0.011302210464758272	0.010600635391945104	1.0661823604787182	FALSE
Angpt1	0.020013348828142173	0.014388824799515093	1.3908953029170685	0.011342205227708135	0.010600635391945104	1.0699552251675888	FALSE
Ryr2	0.013913691762182302	0.014388824799515093	0.9669790240722924	0.011405747031099603	0.010600635391945104	1.0759493756163205	FALSE
Mzt2	0.030357393326261854	0.014388824799515093	2.109789628356925	0.011473084486494903	0.010600635391945104	1.0823015849797768	FALSE
Itgb6	0.03491423445993219	0.014388824799515093	2.4264827007351437	0.011476881694175147	0.010600635391945104	1.0826597906476303	FALSE
Col14a1	0.02748063836307583	0.014388824799515093	1.909859821491602	0.011481218918367547	0.010600635391945104	1.0830689382158691	FALSE
Il1rl1	0.046382786784353466	0.014388824799515093	3.223528497331942	0.011489846232273298	0.010600635391945104	1.0838827869699075	FALSE
Ceacam3	0.030382865670333745	0.014388824799515093	2.111559914980524	0.011622881259947381	0.010600635391945104	1.0964325090153588	FALSE
Msmb	0.036360595248735056	0.014388824799515093	2.5270024310783477	0.011641254801727195	0.010600635391945104	1.0981657581179338	FALSE
Vegfd	0.014843384743195622	0.014388824799515093	1.0315911792668326	0.011720824680682045	0.010600635391945104	1.1056719005341997	FALSE
Ptges2	0.053041775167163414	0.014388824799515093	3.6863173960496716	0.011793207239294418	0.010600635391945104	1.1125000345031666	FALSE
Cdh11	0.0266594274496674	0.014388824799515093	1.8527869941515884	0.011818993040620673	0.010600635391945104	1.114932511460713	FALSE
Sostdc1	0.025980868623644897	0.014388824799515093	1.8056282556529883	0.011836610365521175	0.010600635391945104	1.1165944236243828	FALSE
Il12b	0.021553027377691734	0.014388824799515093	1.497900466368739	0.011967370330110437	0.010600635391945104	1.1289295299415587	FALSE
Itgb2	0.07100855094940069	0.014388824799515093	4.934979189669034	0.01205789325092134	0.010600635391945104	1.1374689162579381	FALSE
Klrb1c	0.018544219654275204	0.014388824799515093	1.288793206718324	0.012310446571672129	0.010600635391945104	1.1612932731396672	FALSE
Lgr5	0.023097407338725562	0.014388824799515093	1.6052323702978126	0.012360545484116449	0.010600635391945104	1.1660193023437646	FALSE
Inha	0.04126643138391914	0.014388824799515093	2.8679500903583057	0.012377306214124912	0.010600635391945104	1.167600408512287	FALSE
Ccl28	0.028838897799036707	0.014388824799515093	2.00425665062018	0.012516457513199887	0.010600635391945104	1.1807271027084396	FALSE
Tnfsf10	0.06960436270535536	0.014388824799515093	4.837390382826889	0.012718618758813931	0.010600635391945104	1.1997977751860212	FALSE
Cxcr4	0.017590493817103103	0.014388824799515093	1.222510806976808	0.012817971370421974	0.010600635391945104	1.2091701012716383	FALSE
Rb1	0.09024084228823744	0.014388824799515093	6.271592263134552	0.01286139321866629	0.010600635391945104	1.2132662565150598	FALSE
Epha2	0.048992564079367515	0.014388824799515093	3.4049037890167777	0.012878378334018222	0.010600635391945104	1.214868529843396	FALSE
Tnfsf15	0.031108970648634715	0.014388824799515093	2.1620230339925395	0.01294306118730633	0.010600635391945104	1.2209703200565807	FALSE
Krt13	0.2296007172167131	0.014388824799515093	15.956877675267178	0.013275330562095386	0.010600635391945104	1.2523146086302195	FALSE
