sample_id	pre_filter	post_filter	pct_retained	area_flagged
sam0001	141598	127399	90	1665
sam0002	53517	43204	80.7	557
sam0003	203576	168086	82.6	1448
sam0004	162465	131268	80.8	961
sam0005	161664	111997	69.3	836
sam0006	193510	166163	85.9	1831
sam0007	107285	86741	80.9	481
sam0008	155223	117263	75.5	895
sam0009	79768	62117	77.9	660
sam0010	87350	52898	60.6	698
sam0011	86072	60930	70.8	771
sam0012	338018	298088	88.2	3440
sam0013	258747	222225	85.9	2112
sam0014	402060	358109	89.1	5870
sam0015	262533	219394	83.6	1961
sam0016	252891	159899	63.2	1776
sam0017	133738	105386	78.8	1908
sam0018	103160	87218	84.5	1799
sam0019	132049	111661	84.6	1716
sam0020	116801	97542	83.5	1549
sam0021	131891	100348	76.1	2140
sam0022	240919	190044	78.9	3008
sam0023	420029	375055	89.3	6146
