sample_id	dataset	n_cells	tpc	med_nFeature	sparsity	snr	specificity_fdr
sam0001	Mutter_01	127399	123.502861089961	79	0.906279318890795	0.234100815755404	0.00118898811960854
sam0002	Mutter_01	43204	101.060179612999	56	0.921080528606026	0.193640806378197	0.00182806651637559
sam0003	Mutter_01	168086	90.9041800030937	59	0.924947742916064	0.208697356159044	0.00114076332404895
sam0004	Mutter_01	131268	81.2986485662919	50	0.935064207735721	0.163550192333433	0.00188381028353291
sam0005	Mutter_01	111997	58.8041376108289	40	0.947761730459885	0.120991675331119	0.00297514128723543
sam0006	Mutter_01	166163	96.1061788725529	66	0.919732266699439	0.211260181830376	0.00147488245994372
sam0007	Mutter_01	86741	85.2257871133605	53	0.931173177984793	0.176781678652292	0.00163372744269142
sam0008	Mutter_01	117263	71.2976386413447	47	0.938921587416859	0.147936799483768	0.00237140214928192
sam0009	Mutter_01	62117	65.9458763301512	36	0.956329253030995	0.0845578551006038	0.00316685080829701
sam0010	Mutter_01	52898	48.2005179779954	29	0.96344852357367	0.0623271254684493	0.00411081805941287
sam0011	Mutter_01	60930	65.7373379287707	34	0.956153653459103	0.085316275536183	0.00342012931832248
sam0012	Mutter_02	298088	184.471951235876	61	0.91987058572601	0.229217034065606	0.000665763154620997
sam0013	Mutter_02	222225	165.296420294746	56	0.925025882965937	0.222237185978792	0.000778611373855367
sam0014	Mutter_02	358109	162.486502712861	64	0.923326405618048	0.2176120660715	0.0007438209999394
sam0015	Mutter_02	219394	146.030597919724	52	0.932557408133313	0.20543806720468	0.000690230900335598
sam0016	Mutter_02	159899	136.079950468733	46	0.937360886691303	0.194433529357294	0.000799735104503014
sam0017	Mutter_02	105386	117.93474465299	45	0.944259838768158	0.174957754563271	0.000701150388202596
sam0018	Mutter_02	87218	166.402325208099	75	0.910399326068617	0.245563214842231	0.000789459768534035
sam0019	Mutter_02	111661	169.74528259643	69	0.911136461441798	0.251074799756809	0.000802668721503512
sam0020	Mutter_02	97542	144.666820446577	60	0.926365009836518	0.21715223107093	0.000681429692842358
sam0021	Mutter_02	100348	113.167457248774	52	0.930055533060738	0.215257393747669	0.00086480159622501
sam0022	Mutter_02	190044	141.090642167077	59	0.92361950528908	0.226590101716899	0.00069953621220007
sam0023	Mutter_02	375055	199.987660476464	73	0.911717324266125	0.240814131887237	0.000656215946326105
